date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,1.9531882,-13.708332,979.45483,0.0
1981-01-02,0.36001757,-14.817361,986.0395,0.0
1981-01-03,0.068692125,-19.852083,995.3992,0.0
1981-01-04,0.13589408,-25.9375,1004.2517,0.0
1981-01-05,0.055587657,-34.6,1012.5347,0.0
1981-01-06,0.3735786,-25.351389,1015.14233,0.0
1981-01-07,0.29662982,-20.368752,1022.39813,0.0
1981-01-08,0.9418331,-14.806251,997.941,0.0
1981-01-09,0.12373609,-9.637501,985.69336,0.0
1981-01-10,0.61954194,-18.054861,997.8531,0.0
1981-01-11,0.68468994,-20.407639,996.1635,0.0
1981-01-12,2.017055,-5.360417,974.93097,0.0
1981-01-13,2.3261113,-7.5104165,977.5579,0.0
1981-01-14,1.3380324,-11.534722,981.072,0.0
1981-01-15,2.4572668,-14.997223,982.3276,0.0
1981-01-16,1.97705,-9.810416,982.61285,0.0
1981-01-17,0.86137205,-14.636112,1001.0165,0.0
1981-01-18,0.0062735486,-29.191668,1022.73114,0.0
1981-01-19,0.23468079,-32.37431,1028.723,0.0
1981-01-20,0.3834428,-20.241667,1024.6473,0.0
1981-01-21,0.055704698,-21.600695,1019.2066,0.0
1981-01-22,0.83521503,-12.948611,1014.1606,0.0
1981-01-23,0.638263,-8.658334,1000.6274,0.0
1981-01-24,2.7238088,-3.6430554,984.4441,0.0
1981-01-25,0.50876683,-4.332639,977.15344,0.0
1981-01-26,0.13431436,-15.90486,1003.18823,0.0
1981-01-27,0.6992308,-4.45625,992.5066,0.0
1981-01-28,6.646411,-5.3486114,996.8852,0.0
1981-01-29,0.75719863,-13.596528,1004.19653,0.0
1981-01-30,0.2283563,-14.600695,1002.7268,0.0
1981-01-31,2.2782228,-14.254861,997.2849,0.0
1981-02-01,1.7025148,-8.322223,983.911,0.0
1981-02-02,0.25028127,-14.984722,994.0958,0.0
1981-02-03,0.381547,-19.679167,985.5745,0.0
1981-02-04,0.0,-21.500694,987.7161,0.0
1981-02-05,0.011347011,-24.79861,993.82715,0.0
1981-02-06,0.7505386,-24.554861,992.63214,0.0
1981-02-07,0.9356897,-8.279166,976.04816,0.0
