date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.25212142,-5.552174,972.5976,0.0
1981-01-02,0.043780714,-8.056521,984.25037,0.0
1981-01-03,1.2394266,-9.504348,990.6918,0.0
1981-01-04,0.14303112,-13.878262,995.01996,0.0
1981-01-05,0.24828705,-18.165218,1001.67615,0.0
1981-01-06,0.32929826,-23.313044,1003.07855,0.0
1981-01-07,0.7483099,-16.778261,1010.9909,0.0
1981-01-08,2.7971513,-11.582608,1017.1763,0.0
1981-01-09,2.717945,-1.2521739,1000.4864,0.0
1981-01-10,0.7516009,-4.3608694,1001.86847,0.0
1981-01-11,0.8137146,-8.678261,1007.0651,0.0
1981-01-12,1.3597468,-1.8956524,993.7291,0.0
1981-01-13,4.9625554,-3.0217388,993.991,0.0
1981-01-14,1.3333303,-6.739129,989.6031,0.0
1981-01-15,6.097266,-5.5347824,982.09937,0.0
1981-01-16,1.8267008,-5.369565,982.3557,0.0
1981-01-17,3.770907,-3.9782608,993.2687,0.0
1981-01-18,0.4826476,-11.27826,1014.6743,0.0
1981-01-19,1.1138171,-11.952173,1021.5402,0.0
1981-01-20,0.8402874,-11.326087,1019.2672,0.0
1981-01-21,0.4980051,-8.091303,1024.7384,0.0
1981-01-22,0.8587579,-6.408696,1022.3385,0.0
1981-01-23,0.22996463,-2.004348,1016.7619,0.0
1981-01-24,0.52104396,0.46086955,1002.92975,1.364173868
1981-01-25,2.0993176,0.1956522,989.61304,0.579130512
1981-01-26,0.07227475,-11.226088,1009.99023,0.0
1981-01-27,2.5042956,-10.239131,1017.34375,0.0
1981-01-28,0.018593462,1.9043478,1011.775,5.636869488
1981-01-29,3.7513092,2.2739131,1011.5365,6.730782776000001
1981-01-30,2.6923456,-0.4478261,999.95685,0.0
1981-01-31,2.564469,-7.8217387,1004.25867,0.0
1981-02-01,0.9360229,-1.8347828,990.47284,0.0
1981-02-02,8.633394,-7.1652174,999.1828,0.0
1981-02-03,3.1336372,-6.5434775,976.2594,0.0
1981-02-04,3.976511,-10.273912,976.5111,0.0
1981-02-05,1.142993,-13.478262,988.4775,0.0
1981-02-06,0.82896537,-18.508696,1000.5121,0.0
1981-02-07,3.6133125,-3.8521738,983.9122,0.0
1981-02-08,0.08490778,-6.0478263,990.3062,0.0
1981-02-09,0.0,-7.4608684,999.1343,0.0
1981-02-10,0.20071082,-8.1,1011.71405,0.0
1981-02-11,0.11278157,-7.073914,1017.8614,0.0
1981-02-12,0.18249999,-9.352174,1022.09265,0.0
1981-02-13,0.06853474,-14.599999,1026.956,0.0
1981-02-14,0.13596112,-15.330435,1022.1362,0.0
1981-02-15,0.37019783,-13.043478,1016.21,0.0
1981-02-16,0.49133334,-13.491305,1016.87103,0.0
1981-02-17,0.10899354,-14.652174,1030.6641,0.0
