date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,1.0261575,-5.8111105,972.9248,0.0
1981-01-02,0.33586037,-11.830159,985.9351,0.0
1981-01-03,2.606805,-9.352382,989.7782,0.0
1981-01-04,1.0028588,-13.274602,994.93396,0.0
1981-01-05,0.20898466,-19.03651,1004.41125,0.0
1981-01-06,1.7859559,-20.45079,1006.19464,0.0
1981-01-07,0.70104885,-12.849206,1012.50714,0.0
1981-01-08,2.3236828,-11.336509,1014.147,0.0
1981-01-09,0.48623037,-1.9619046,998.535,0.0
1981-01-10,0.3732482,-7.7634916,1002.3213,0.0
1981-01-11,0.3697013,-8.9476185,1006.6848,0.0
1981-01-12,1.1790917,-1.2952378,989.70044,0.0
1981-01-13,1.0148177,-3.0285714,992.35065,0.0
1981-01-14,3.8467374,-9.303175,987.45874,0.0
1981-01-15,1.4026619,-5.01746,975.57135,0.0
1981-01-16,1.2404819,-5.3079367,979.0668,0.0
1981-01-17,0.4433742,-6.2809515,993.1845,0.0
1981-01-18,0.32101336,-15.252379,1016.0122,0.0
1981-01-19,0.52437484,-14.946033,1019.8481,0.0
1981-01-20,1.2513018,-9.19365,1017.94354,0.0
1981-01-21,0.9747789,-7.3999996,1022.2468,0.0
1981-01-22,0.17808802,-3.9222226,1019.43304,0.0
1981-01-23,0.055292778,-0.98095244,1015.42426,0.0
1981-01-24,0.5564654,0.48571435,1000.55804,1.437714476
1981-01-25,0.60493237,-0.6761904,988.0286,0.0
1981-01-26,0.066046014,-11.707937,1012.00507,0.0
1981-01-27,2.2772856,-6.179365,1015.94385,0.0
1981-01-28,0.22602406,3.2095237,1013.1094,9.500190152
1981-01-29,1.9034266,2.85873,1012.3062,8.4618408
1981-01-30,1.2302291,-0.64761895,1001.4767,0.0
1981-01-31,1.4969876,-3.3730159,1003.0216,0.0
1981-02-01,0.48561057,-0.8222223,993.45374,0.0
1981-02-02,7.503846,-6.431746,998.8815,0.0
1981-02-03,1.0068742,-5.425397,976.6409,0.0
1981-02-04,3.088774,-10.366668,977.6706,0.0
1981-02-05,0.33016527,-14.677778,988.9742,0.0
1981-02-06,2.7592635,-15.5079365,997.89966,0.0
1981-02-07,1.796288,-3.552381,980.42126,0.0
1981-02-08,0.003738885,-6.960317,988.4009,0.0
1981-02-09,0.079267606,-6.8952384,998.6974,0.0
1981-02-10,0.015090391,-7.8746033,1011.1203,0.0
1981-02-11,0.030272847,-12.715873,1017.36566,0.0
1981-02-12,0.2946055,-8.35873,1021.7903,0.0
1981-02-13,0.040647477,-13.884128,1027.4065,0.0
1981-02-14,0.00831624,-14.844444,1020.66724,0.0
1981-02-15,0.047791842,-14.823809,1016.98755,0.0
1981-02-16,0.45936856,-18.509525,1018.77844,0.0
1981-02-17,0.4804018,-10.736509,1030.2197,0.0
1981-02-18,0.1627978,-9.995237,1043.6227,0.0
1981-02-19,0.04145323,-11.560317,1043.3024,0.0
1981-02-20,0.122846864,-15.479364,1037.9503,0.0
1981-02-21,1.3930517,-11.236508,1028.7585,0.0
1981-02-22,0.12269465,-9.730159,1028.4138,0.0
1981-02-23,0.1591225,-8.538095,1038.3597,0.0
1981-02-24,0.104191534,-8.411111,1046.6309,0.0
1981-02-25,3.0357106,-6.863492,1044.0563,0.0
1981-02-26,0.019019421,-7.8095236,1043.4877,0.0
1981-02-27,0.0018679396,-11.67619,1048.7167,0.0
1981-02-28,0.0038494843,-14.190476,1046.0094,0.0
1981-03-01,0.0,-12.031746,1031.9264,0.0
1981-03-02,0.0027211707,-9.473016,1019.6402,0.0
1981-03-03,0.66432977,-6.230159,1010.9625,0.0
1981-03-04,0.0,-13.592064,1009.48553,0.0
1981-03-05,0.0,-20.4,1011.75494,0.0
1981-03-06,0.0056884033,-22.812696,1017.02856,0.0
1981-03-07,0.0,-21.123806,1020.65546,0.0
1981-03-08,2.097823,-14.385715,1010.3476,0.0
1981-03-09,9.969137,-8.304762,991.0995,0.0
1981-03-10,2.3570383,-7.8571434,987.35547,0.0
1981-03-11,0.022530876,-13.9317465,1005.2231,0.0
1981-03-12,0.6980184,-18.12857,1011.868,0.0
1981-03-13,3.059663,-12.84127,1003.9589,0.0
1981-03-14,0.08891807,-13.631746,1006.6989,0.0
1981-03-15,0.0,-17.2,1012.49634,0.0
1981-03-16,0.07040658,-17.90476,1014.19806,0.0
1981-03-17,0.062278897,-6.773016,1007.3198,0.0
1981-03-18,0.0022361253,-10.131747,1006.3319,0.0
1981-03-19,2.0406897,-8.136509,1000.5217,0.0
1981-03-20,0.8598974,-1.7253968,988.07245,0.0
1981-03-21,0.68454605,-4.226984,999.8692,0.0
1981-03-22,2.9455876,-3.474603,995.3191,0.0
1981-03-23,0.81563985,1.8444446,987.9549,5.4595560160000005
1981-03-24,10.772177,1.3301587,994.6884,3.937269752
1981-03-25,0.5541354,-1.7682539,994.89124,0.0
1981-03-26,0.0072261975,-7.1126986,1004.8314,0.0
1981-03-27,0.025409903,-11.555555,1010.7306,0.0
1981-03-28,0.0,-8.552381,1022.59985,0.0
1981-03-29,0.0,-6.7857146,1027.0837,0.0
1981-03-30,0.0,0.13968256,1024.2781,0.4134603776
1981-03-31,0.20509732,1.3523809,1022.69366,4.003047464
1981-04-01,-1.213935809,1.5682539,1028.0662,4.642031544
1981-04-02,-1.299200546,1.4650795,1028.1674,4.33663532
1981-04-03,-1.262012555,3.7126985,1021.17004,10.98958756
1981-04-04,-1.2585562,0.6444445,1022.4458,1.90755572
1981-04-05,-1.0822766,-0.34126985,1015.362,0.0
1981-04-06,-1.3836589339999998,2.052381,1008.2273,6.07504776
1981-04-07,-1.3114215,2.6999998,1014.20886,7.991999408
1981-04-08,-1.2739729,2.1730163,1015.90045,6.432128248
1981-04-09,-0.9330906,0.21746033,1014.5598,0.6436825768
1981-04-10,-0.18198364,1.4142855,1011.1769,4.18628508
1981-04-11,-2.0312178,3.753968,1010.69214,11.11174528
1981-04-12,0.1550822,3.0047617,1015.5381,8.894094632
1981-04-13,0.7073902999999999,2.3841274,993.8274,7.057017104000001
1981-04-14,-0.02488987,0.8666666,1005.001,2.565333136
1981-04-15,-1.351515543,-0.63809526,1011.93176,0.0
1981-04-16,-1.42533355,-1.6222222,1023.55914,0.0
1981-04-17,-1.476152295,-1.5333332,1025.7181,0.0
1981-04-18,-0.5164258,0.9190476,1012.36847,2.720380896
1981-04-19,-1.6011441209,0.49206346,1019.2642,1.4565078416
1981-04-20,-1.23109234,2.0650792,1004.3709,6.112634432
1981-04-21,-0.6438409,-4.982539,998.4157,0.0
1981-04-22,-0.69813731,-7.050794,1001.5143,0.0
1981-04-23,-0.4501577599999999,-6.2238097,1004.8638,0.0
1981-04-24,0.2633588000000001,-3.9507937,1006.81165,0.0
1981-04-25,-1.254377323,-2.8000002,1009.1213,0.0
1981-04-26,-1.5969695,-1.320635,1014.4498,0.0
1981-04-27,-1.06878663,0.10793651,1013.3764,0.3194920696
1981-04-28,-0.10134577,0.2952381,1007.8624,0.873904776
1981-04-29,-2.0461942314,-0.5523809,1004.8614,0.0
1981-04-30,-1.8840908,-1.8428574,1002.329,0.0
1981-05-01,-0.6268814,-1.5396827,1001.62836,0.0
1981-05-02,5.074304,-1.8984125,1000.3499,0.0
1981-05-03,-0.6318983300000001,-1.3650795,995.88153,0.0
1981-05-04,-1.24292337,-0.11904762,1000.7034,0.0
1981-05-05,-2.074734074,2.8904765,1010.1156,8.55581044
1981-05-06,-1.34255296,4.690476,1015.29224,13.88380896
1981-05-07,-2.268751554,6.2539687,1017.8655,18.511747352
1981-05-08,-2.9314466,8.536509,1024.7174,15.604339
1981-05-09,-3.4860198,10.176191,1024.8567,9.332382
1981-05-10,-3.32154411,12.714286,1020.36084,3.8654845
1981-05-11,-3.3220494,8.155556,1027.8872,1.6661481
1981-05-12,-3.189615,8.066667,1030.176,1.3669288
1981-05-13,-3.4091914,9.050793,1028.5579,1.1164519
1981-05-14,-4.0446777,12.473017,1024.5626,1.0214725
1981-05-15,-3.6123013,10.077777,1024.4026,0.94838536
1981-05-16,-3.3192616,9.425397,1025.4756,0.71372694
1981-05-17,-3.7697515,12.977778,1021.9425,0.6683667
1981-05-18,-3.9331884,14.48254,1021.1889,0.46665865
1981-05-19,-4.198665,15.657144,1021.7077,0.24897498
1981-05-20,-4.258556,16.26508,1022.79364,0.0
1981-05-21,-3.7410455,15.798412,1022.9116,0.0
1981-05-22,-4.3540387,16.952381,1021.2999,0.0
