date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.22003703,-15.291667,979.73236,0.0
1981-01-02,0.5463511,-17.286665,985.4857,0.0
1981-01-03,0.2145355,-18.663334,993.7065,0.0
1981-01-04,0.019531751,-27.016666,1002.42804,0.0
1981-01-05,0.7178214,-26.640003,1009.0421,0.0
1981-01-06,1.49418,-15.085,1006.43036,0.0
1981-01-07,0.47489545,-14.458334,1017.69495,0.0
1981-01-08,5.165143,-12.788333,1004.9924,0.0
1981-01-09,0.14136757,-6.4983335,990.03876,0.0
1981-01-10,0.38568032,-10.433334,998.9609,0.0
1981-01-11,1.9986292,-12.348332,999.5015,0.0
1981-01-12,4.2617326,-2.9616666,980.30664,0.0
1981-01-13,0.34258154,-6.3116665,983.81464,0.0
1981-01-14,1.9898599,-11.426667,984.4395,0.0
1981-01-15,4.4134755,-8.0199995,980.8788,0.0
1981-01-16,3.058728,-8.761667,982.6974,0.0
1981-01-17,2.136639,-10.613333,995.9049,0.0
1981-01-18,0.52991086,-15.216666,1016.2351,0.0
1981-01-19,0.23911653,-18.796667,1025.7175,0.0
1981-01-20,0.8917562,-16.416666,1022.11053,0.0
1981-01-21,0.5867962,-18.216667,1022.635,0.0
1981-01-22,1.4359145,-10.129999,1018.23505,0.0
1981-01-23,1.1628926,-3.3083334,1006.9606,0.0
1981-01-24,1.688672,-0.35,990.48694,0.0
1981-01-25,1.6823522,-3.9916663,981.4825,0.0
1981-01-26,0.066885814,-16.345001,1007.87115,0.0
1981-01-27,1.1853484,-6.0299997,1001.7797,0.0
1981-01-28,0.7445286,2.43,999.1278,7.1928
1981-01-29,0.2308024,-4.023333,1003.93933,0.0
1981-01-30,0.3280936,-8.868334,1003.0193,0.0
1981-01-31,4.6504374,-10.506667,1000.36316,0.0
1981-02-01,0.8563756,-7.0250006,984.9857,0.0
1981-02-02,0.42387772,-13.4800005,996.9887,0.0
1981-02-03,0.11734057,-17.553333,984.42834,0.0
1981-02-04,0.049292132,-25.048336,985.90265,0.0
1981-02-05,0.09349654,-29.023335,994.03,0.0
1981-02-06,1.148092,-21.996668,996.26465,0.0
1981-02-07,1.9792582,-6.775,978.35864,0.0
1981-02-08,0.69605577,-7.26,984.9526,0.0
1981-02-09,0.8924826,-6.21,995.8739,0.0
1981-02-10,0.19152251,-8.195001,1010.30084,0.0
1981-02-11,0.50221604,-12.3566675,1016.72455,0.0
1981-02-12,0.60890716,-13.869999,1023.0941,0.0
1981-02-13,0.07302939,-19.488335,1028.1155,0.0
1981-02-14,0.6103382,-17.433336,1019.5915,0.0
1981-02-15,0.14495628,-19.348335,1018.95465,0.0
1981-02-16,0.82872176,-19.856665,1019.3262,0.0
1981-02-17,0.027864361,-14.908334,1030.7498,0.0
1981-02-18,0.28830996,-17.365,1044.9032,0.0
1981-02-19,0.093848675,-14.485,1043.3954,0.0
1981-02-20,0.023854865,-18.658333,1041.7806,0.0
1981-02-21,0.8225663,-17.805,1032.3058,0.0
1981-02-22,0.6655443,-12.546667,1024.441,0.0
1981-02-23,0.104629345,-18.666666,1039.629,0.0
1981-02-24,0.17773288,-18.875,1048.4418,0.0
1981-02-25,0.4354927,-10.821666,1045.7816,0.0
1981-02-26,0.048174568,-12.271668,1045.8826,0.0
1981-02-27,0.057937007,-10.756667,1043.9766,0.0
1981-02-28,0.1896518,-10.128333,1039.555,0.0
1981-03-01,0.21468289,-7.7116666,1023.2278,0.0
1981-03-02,0.21550249,-8.88,1013.9075,0.0
1981-03-03,0.037418466,-14.04,1010.0897,0.0
1981-03-04,0.0021738985,-19.973331,1011.79266,0.0
1981-03-05,0.0012279951,-25.511667,1013.1319,0.0
1981-03-06,0.0020382984,-28.246668,1016.685,0.0
1981-03-07,0.20707856,-26.21,1019.38184,0.0
1981-03-08,1.3554991,-22.253332,1015.37616,0.0
1981-03-09,6.7471185,-13.048333,1000.3953,0.0
1981-03-10,3.7526066,-12.500001,996.29193,0.0
1981-03-11,0.074584164,-20.248333,1013.5593,0.0
1981-03-12,0.0030391996,-23.105003,1014.472,0.0
1981-03-13,0.04618205,-21.035,1008.13293,0.0
1981-03-14,0.013537004,-26.404999,1014.70337,0.0
1981-03-15,0.0,-18.961668,1011.5846,0.0
1981-03-16,0.052423853,-15.093333,1011.7458,0.0
1981-03-17,1.4733462,-12.478334,1003.78827,0.0
1981-03-18,0.3167654,-14.411665,1001.9601,0.0
1981-03-19,2.494209,-11.958334,1001.6719,0.0
1981-03-20,1.9888589,-6.936667,992.1305,0.0
1981-03-21,0.781016,-10.648334,997.8118,0.0
1981-03-22,0.3568875,-16.756666,1001.92175,0.0
1981-03-23,7.7226324,-10.821667,991.64453,0.0
1981-03-24,2.1345356,-5.5,984.3948,0.0
1981-03-25,0.9192245,-5.2516665,993.3698,0.0
1981-03-26,0.005274895,-11.705001,999.9391,0.0
1981-03-27,0.0,-11.161665,1006.6058,0.0
1981-03-28,0.0,-9.473333,1019.1477,0.0
1981-03-29,0.023830716,-8.275,1021.8006,0.0
1981-03-30,0.0,-0.79999995,1014.89435,0.0
1981-03-31,0.006420829,-0.23499998,1017.5986,0.0
1981-04-01,-1.02249123277,1.2849998,1025.679,3.803599408
1981-04-02,-0.9206795,1.8349999,1019.9547,5.431599704
1981-04-03,-1.031193855,3.0983331,1016.63873,9.171065976
1981-04-04,-1.1040866,0.22,1021.9976,0.6512
1981-04-05,-0.95726960628,-1.4200001,1009.5715,0.0
1981-04-06,-1.398626025,-0.05666666,1003.592,0.0
1981-04-07,-0.6198816599999999,-1.45,1012.40924,0.0
1981-04-08,-0.59646487,-1.9733334,1017.07654,0.0
1981-04-09,-0.8482362167,-8.6866665,1018.8158,0.0
1981-04-10,-0.0406163899999999,-1.6833333,1000.52057,0.0
1981-04-11,-1.9861647,3.2033336,1002.08,9.481867456
1981-04-12,0.6945918000000002,1.17,1012.4914,3.4632
1981-04-13,6.3093138,0.7916666,993.7103,2.343333136
1981-04-14,2.00170624,-0.59000003,1006.8735,0.0
1981-04-15,-0.71886957,-4.18,1014.6396,0.0
1981-04-16,-1.1292694,-3.6499999,1024.5314,0.0
1981-04-17,-0.1148264000000001,-2.4183335,1020.0004,0.0
1981-04-18,-0.7815251,0.80666655,1007.19885,2.387732988
1981-04-19,-1.44794034,-1.2733333,1015.8825,0.0
1981-04-20,4.1254425,-0.76500005,994.8726,0.0
1981-04-21,-0.97317325,-7.62,1001.34375,0.0
1981-04-22,-0.61673346,-8.545,1002.7194,0.0
1981-04-23,-0.8243953829999999,-7.178333,1003.1278,0.0
1981-04-24,0.1648936599999999,-8.0616665,1004.76227,0.0
1981-04-25,-0.1907932199999999,-8.708333,1006.18555,0.0
1981-04-26,-0.9934909568,-8.371667,1012.15936,0.0
1981-04-27,-1.1851489425,-4.598334,1013.42065,0.0
1981-04-28,-1.138717353,-4.4999995,1012.00525,0.0
1981-04-29,-1.3073313,-5.294999,1008.62103,0.0
1981-04-30,-1.2596867,-6.0066667,1006.8962,0.0
1981-05-01,-1.2271653,-6.6599994,1008.3391,0.0
1981-05-02,2.4715565,-5.985,1009.72174,0.0
1981-05-03,11.01425996,-2.7616665,997.75494,0.0
1981-05-04,-0.7766749199999999,-1.7666668,995.76135,0.0
1981-05-05,-1.59376151,-0.22833332,1007.2852,0.0
1981-05-06,-2.074969986,3.7533333,1016.1852,11.109866568
1981-05-07,1.6352498999999998,4.533333,1017.46326,13.41866568
1981-05-08,-0.79253475,2.9866667,1023.37897,8.840533431999999
1981-05-09,-1.91538514,5.9250007,1021.6242,17.538002072
1981-05-10,-1.55119994,5.0299997,1016.9007,14.888799112
1981-05-11,-2.4473710355,3.6233332,1029.7501,10.725066272
1981-05-12,-2.1363132,4.771666,1029.9968,14.12413136
1981-05-13,-3.6562064,9.075001,1026.0856,26.86200296
1981-05-14,-2.601393,5.803334,1024.4316,17.17786864
1981-05-15,-2.3978462,3.2883337,1028.787,9.733467752
1981-05-16,-2.7099054,5.1799994,1025.6272,15.332798224
1981-05-17,-3.2170935,9.429999,1020.515,21.37982
1981-05-18,-3.5117965,10.7733345,1019.7129,15.184284
1981-05-19,-3.35454297514,10.826666,1020.39777,9.190339
1981-05-20,-3.799928,12.048334,1021.66315,4.733859
1981-05-21,-3.7752283,13.023334,1019.3131,0.9749429
1981-05-22,-2.157837,13.111666,1018.71655,0.34567374
1981-05-23,-2.1756182,10.833333,1018.3639,0.0
1981-05-24,-3.4777169513,13.228333,1017.8405,0.0
1981-05-25,-3.6080784,16.993332,1010.3753,0.0
1981-05-26,5.884523300000001,2.6233332,1012.83014,0.0
1981-05-27,-1.359940723,1.895,1017.70435,0.03934162
1981-05-28,-1.39592653,4.6933336,1017.5944,0.0
