date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
2005-01-01,0.034555845,-1.7777777,1003.6121,0.0
2005-01-02,2.2972713,-0.40952376,990.9615,0.0
2005-01-03,2.4028747,-0.8968253,981.52484,0.0
2005-01-04,1.0054556,-2.477778,992.8919,0.0
2005-01-05,0.059361666,-4.02381,992.93475,0.0
2005-01-06,3.3073344,-6.7317457,997.8802,0.0
2005-01-07,2.8976045,-1.0158731,986.0906,0.0
2005-01-08,10.774979,-0.1968254,981.5326,0.0
2005-01-09,3.9314814,-1.5095239,973.3288,0.0
2005-01-10,8.944897,-3.269841,995.62573,0.0
2005-01-11,0.09559536,0.8587302,990.98126,2.541841392
2005-01-12,1.2815967,-0.7111111,998.68933,0.0
2005-01-13,3.2644224,1.4079363,986.4564,4.167491448
2005-01-14,0.02501687,-3.111111,1003.9969,0.0
2005-01-15,0.6527857,-7.725397,1020.5127,0.0
2005-01-16,4.5509143,-6.35873,1013.1865,0.0
2005-01-17,0.38804418,1.4253968,1003.05524,4.219174528
2005-01-18,0.85000706,1.1333333,998.5214,3.3546665680000003
2005-01-19,4.398968,-0.031746034,998.82135,0.0
2005-01-20,3.4762554,-2.104762,991.6363,0.0
2005-01-21,4.8025594,-2.2349207,986.26654,0.0
2005-01-22,2.3008955,-3.593651,992.3004,0.0
2005-01-23,0.28286287,-6.298413,1003.44495,0.0
2005-01-24,0.73433787,-8.684128,1018.0826,0.0
2005-01-25,0.028717102,-8.622221,1030.6703,0.0
2005-01-26,3.5526457,-6.7682543,1024.7726,0.0
2005-01-27,0.38820562,-7.4238095,1021.7664,0.0
2005-01-28,0.39384976,-18.087303,1022.32574,0.0
2005-01-29,2.8343937,-14.782538,1019.8339,0.0
2005-01-30,8.772842,-7.114286,1004.16974,0.0
2005-01-31,3.669083,-3.2825398,987.8713,0.0
2005-02-01,0.20907086,-4.879365,1000.3894,0.0
2005-02-02,0.13369884,-9.473017,1017.1384,0.0
2005-02-03,2.2729053,-8.180952,1027.5731,0.0
2005-02-04,0.36129257,-1.2460318,1024.9415,0.0
2005-02-05,2.6088905,0.75079364,1019.9726,2.2223491744
2005-02-06,0.03333707,-3.9015872,1030.4858,0.0
2005-02-07,0.0033589704,-3.4682543,1035.3291,0.0
2005-02-08,0.06980009,-4.8841267,1034.5966,0.0
2005-02-09,0.0,-3.957143,1028.962,0.0
2005-02-10,4.9463844,-3.415873,1008.9158,0.0
2005-02-11,0.687625,-0.5492064,993.4963,0.0
2005-02-12,0.09338573,-4.41746,998.0901,0.0
2005-02-13,0.3215345,-3.3031747,1002.8699,0.0
2005-02-14,0.7288589,-7.403174,1012.8459,0.0
2005-02-15,0.022572545,-13.530158,1024.7681,0.0
2005-02-16,0.11052875,-17.146032,1032.1326,0.0
2005-02-17,0.30201837,-11.453968,1023.7915,0.0
2005-02-18,0.74586105,-6.6746025,1010.9477,0.0
2005-02-19,0.72379005,-4.4285707,1007.10004,0.0
2005-02-20,0.4191429,-5.9698415,1016.0612,0.0
2005-02-21,0.21355078,-10.177779,1027.578,0.0
2005-02-22,0.0033164436,-16.244444,1038.5272,0.0
2005-02-23,0.0,-17.984129,1042.0011,0.0
2005-02-24,0.16395704,-13.009522,1032.0996,0.0
2005-02-25,0.011860227,-7.33492,1019.89355,0.0
2005-02-26,0.21061365,-12.060319,1017.6142,0.0
2005-02-27,0.16239534,-13.892065,1018.16406,0.0
2005-02-28,0.0,-16.31905,1015.8607,0.0
2005-03-01,0.0,-18.188887,1008.8916,0.0
2005-03-02,0.00034220167,-15.804761,1007.49603,0.0
