date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.49756342,-4.614634,972.50726,0.0
1981-01-02,0.27748784,-8.729268,986.69714,0.0
1981-01-03,0.7846613,-8.148781,989.5583,0.0
1981-01-04,0.31667575,-15.634147,995.67816,0.0
1981-01-05,0.14094053,-19.395123,1005.9205,0.0
1981-01-06,1.2209525,-19.407318,1008.5462,0.0
1981-01-07,0.3511687,-13.17561,1014.59204,0.0
1981-01-08,1.9467943,-8.021951,1012.9565,0.0
1981-01-09,1.5392121,-2.0902438,998.6089,0.0
1981-01-10,0.13344488,-7.2536583,1002.92664,0.0
1981-01-11,0.95317805,-7.363414,1007.5099,0.0
1981-01-12,2.6672819,-0.795122,988.4492,0.0
1981-01-13,0.10564417,-6.904878,991.8293,0.0
1981-01-14,2.310346,-10.8341465,985.3862,0.0
1981-01-15,1.4717772,-3.7878048,970.54706,0.0
1981-01-16,1.177917,-4.1024394,976.811,0.0
1981-01-17,0.32828867,-7.2975607,994.2744,0.0
1981-01-18,0.39542803,-15.736588,1017.45856,0.0
1981-01-19,1.9502332,-15.226829,1017.95825,0.0
1981-01-20,1.5972042,-7.6390247,1016.27545,0.0
1981-01-21,1.1655432,-6.4853663,1021.0122,0.0
1981-01-22,0.2274176,-2.5268292,1018.063,0.0
1981-01-23,0.17467342,-1.4804878,1015.6698,0.0
1981-01-24,1.7093619,0.61951226,1000.04156,1.8337562896
1981-01-25,0.4579404,-1.2195122,988.473,0.0
1981-01-26,0.006502145,-10.965854,1013.5192,0.0
1981-01-27,1.3374455,-4.1804876,1016.9022,0.0
1981-01-28,0.016311849,3.8000002,1015.9226,11.248000592
1981-01-29,1.4381615,2.5609756,1013.92236,7.580487776
1981-01-30,2.9737875,-0.0097560985,1003.1777,0.0
1981-01-31,0.68338716,-1.9536585,1003.4495,0.0
1981-02-01,0.035336267,0.17560975,996.4951,0.51980486
1981-02-02,7.1052566,-3.9707322,998.40094,0.0
1981-02-03,1.2522217,-3.8658535,976.9783,0.0
1981-02-04,3.9142191,-9.063415,978.16016,0.0
1981-02-05,0.77110624,-14.892682,989.69415,0.0
1981-02-06,3.0358303,-13.124392,995.78613,0.0
1981-02-07,0.3071824,-2.7365854,979.8771,0.0
1981-02-08,0.08639407,-6.4146347,987.55774,0.0
1981-02-09,0.0,-7.7707324,998.7193,0.0
1981-02-10,0.0,-10.258536,1011.8246,0.0
1981-02-11,0.004360651,-11.214634,1016.17456,0.0
1981-02-12,0.057272434,-7.6804876,1021.6652,0.0
1981-02-13,0.26782894,-10.678049,1027.4529,0.0
1981-02-14,1.0383768,-11.673171,1019.16113,0.0
1981-02-15,0.28519744,-13.148782,1016.5146,0.0
1981-02-16,0.9250022,-14.460975,1018.9436,0.0
1981-02-17,0.27888232,-6.8414636,1030.7811,0.0
1981-02-18,0.018943654,-7.8926826,1042.604,0.0
1981-02-19,0.014939992,-10.626829,1042.1947,0.0
1981-02-20,0.3062413,-14.685367,1036.512,0.0
1981-02-21,0.6340858,-10.826829,1027.123,0.0
1981-02-22,0.29914215,-8.736585,1027.8943,0.0
1981-02-23,0.082348146,-6.8756094,1037.9197,0.0
1981-02-24,0.3539511,-6.2292686,1045.2083,0.0
1981-02-25,3.7054543,-5.826829,1042.8533,0.0
1981-02-26,0.017832937,-9.485367,1042.9392,0.0
1981-02-27,0.0,-11.480488,1047.9072,0.0
1981-02-28,0.0,-9.517073,1044.7876,0.0
1981-03-01,0.020668227,-9.909756,1031.0266,0.0
1981-03-02,0.0025863335,-6.541463,1019.1931,0.0
1981-03-03,0.10698169,-6.236585,1011.4069,0.0
1981-03-04,0.0,-11.965854,1010.0324,0.0
1981-03-05,0.0,-20.253658,1012.2983,0.0
1981-03-06,0.0,-22.507317,1017.4476,0.0
1981-03-07,0.0012061285,-18.77317,1019.79346,0.0
1981-03-08,2.4405832,-10.017074,1006.7318,0.0
1981-03-09,7.1739373,-4.8658533,988.1522,0.0
1981-03-10,1.7165295,-8.934147,991.4248,0.0
1981-03-11,0.0842707,-13.551219,1006.06146,0.0
1981-03-12,2.2402484,-16.607319,1010.4918,0.0
1981-03-13,5.001645,-10.32439,1000.62445,0.0
1981-03-14,0.113174394,-11.892683,1004.76447,0.0
1981-03-15,0.0,-17.917072,1012.5725,0.0
1981-03-16,0.0016620272,-15.804878,1013.8358,0.0
1981-03-17,0.13988471,-5.709756,1007.6902,0.0
1981-03-18,0.0,-10.317073,1007.0212,0.0
1981-03-19,2.2680414,-5.351219,998.05914,0.0
1981-03-20,0.56612116,-2.521951,988.8445,0.0
1981-03-21,1.2905093,-4.9512196,1001.56726,0.0
1981-03-22,2.7763927,-2.473171,993.97974,0.0
1981-03-23,1.6065568,2.612195,985.8568,7.732097199999999
1981-03-24,6.730397,1.0121951,994.77496,2.996097496
1981-03-25,0.24511118,-2.3634145,996.8113,0.0
1981-03-26,0.18633817,-7.1048784,1005.6218,0.0
1981-03-27,0.0,-11.556097,1012.3184,0.0
1981-03-28,0.0,-9.348781,1023.8113,0.0
1981-03-29,0.0,-3.2902439,1026.2095,0.0
1981-03-30,0.0,-0.17560977,1024.216,0.0
1981-03-31,0.0,0.62926835,1023.5873,1.862634316
1981-04-01,-1.169339443,0.92926836,1028.9623,2.7506343456
1981-04-02,-1.0293464,1.0487804,1028.3387,3.104389984
1981-04-03,-1.2401625,3.5560973,1022.2249,10.526048008
1981-04-04,-1.2153438,0.397561,1023.57764,1.17678056
1981-04-05,-0.96052286998,-0.57560974,1016.6525,0.0
1981-04-06,-1.3747516,3.2878048,1009.9212,9.731902208
1981-04-07,-1.2433461,2.8560975,1015.3827,8.4540486
1981-04-08,-1.3120943,2.317073,1016.45447,6.85853608
1981-04-09,-0.68786903,1.1073171,1013.18176,3.277658616
1981-04-10,-0.5406596,2.5682926,1012.0367,7.602146095999999
1981-04-11,-2.002382,4.243902,1013.1787,12.56194992
1981-04-12,0.1624223999999998,3.297561,1014.974,9.76078056
1981-04-13,4.0429673,1.9268292,994.6787,5.703414432
1981-04-14,-0.96921116,0.8975611,1008.36835,2.656780856
1981-04-15,-1.226384444,0.12926829,1013.6712,0.3826341384
1981-04-16,-1.5471385,-0.39756095,1025.2117,0.0
1981-04-17,-1.41373085,-0.5609756,1026.2501,0.0
1981-04-18,-0.78560288,1.9731706,1012.8266,5.840584976
1981-04-19,-1.7699711,0.9682927,1020.64575,2.866146392
1981-04-20,0.0053744,2.702439,1006.43915,7.99921944
1981-04-21,-1.19357456,-4.521951,1001.1913,0.0
1981-04-22,-0.8498631,-6.1926827,1003.43585,0.0
1981-04-23,-0.73529749,-4.929268,1006.3085,0.0
1981-04-24,-0.5749865500000001,-2.6682928,1007.1369,0.0
1981-04-25,-1.2876328,-1.685366,1009.88776,0.0
1981-04-26,-1.64808,0.13902439,1014.85144,0.4115121944
1981-04-27,-1.5779800519999998,1.6536584,1012.9136,4.894828864
1981-04-28,-1.411864718,1.209756,1008.22485,3.58087776
1981-04-29,-1.9732367,-0.031707317,1006.3647,0.0
1981-04-30,-2.0095196,-0.18048781,1001.14197,0.0
1981-05-01,-0.5973727,0.06585366,999.7398,0.1949268336
1981-05-02,1.9707527,-1.0317073,999.7549,0.0
1981-05-03,-0.5686941400000001,-1.4634147,996.8536,0.0
1981-05-04,-1.35363072,0.7487805,1000.3049,2.21639028
1981-05-05,-1.7135639,3.2024388,1009.3514,9.479218848
1981-05-06,-2.0747114667,5.3609757,1014.47455,6.389185
1981-05-07,-2.0823119,5.985366,1018.3251,4.249075
1981-05-08,-2.906075,8.917073,1024.465,3.668546
1981-05-09,-3.5193262,11.007317,1024.297,2.4031904
1981-05-10,-3.3065828,13.870732,1020.56934,0.4362992
1981-05-11,-3.533063,10.019512,1027.4281,0.6329466
1981-05-12,-3.5729463,9.739024,1029.2043,0.42942172
1981-05-13,-3.6708806,10.863415,1027.9982,0.0
