date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.4331087,-5.0000005,972.9587,0.0
1981-01-02,0.26907253,-10.109523,986.387,0.0
1981-01-03,1.205229,-9.142857,989.72943,0.0
1981-01-04,0.22421353,-17.500004,995.7628,0.0
1981-01-05,0.056810528,-19.604763,1005.8431,0.0
1981-01-06,2.0034456,-20.433332,1007.838,0.0
1981-01-07,0.11607948,-13.004761,1014.1981,0.0
1981-01-08,3.0407047,-9.880952,1012.2126,0.0
1981-01-09,0.5785438,-2.5142856,998.01154,0.0
1981-01-10,0.1797296,-8.066667,1002.521,0.0
1981-01-11,1.2096956,-8.638096,1006.47217,0.0
1981-01-12,2.049635,-0.9,987.83344,0.0
1981-01-13,0.045420434,-6.5142865,991.5359,0.0
1981-01-14,3.408546,-11.22381,985.4943,0.0
1981-01-15,0.7685339,-4.1238093,971.6372,0.0
1981-01-16,1.5460372,-4.642857,977.3665,0.0
1981-01-17,0.16906066,-7.1904755,994.13403,0.0
1981-01-18,0.19402578,-16.061903,1017.0786,0.0
1981-01-19,0.7228106,-15.923812,1018.6468,0.0
1981-01-20,1.8409154,-8.452381,1016.81213,0.0
1981-01-21,0.8553761,-7.547619,1021.1174,0.0
1981-01-22,0.090032905,-3.061905,1018.07385,0.0
1981-01-23,0.1559295,-1.6380951,1015.04974,0.0
1981-01-24,0.9763754,0.5571429,999.21893,1.649142984
1981-01-25,1.0308657,-0.8857143,987.8132,0.0
1981-01-26,0.019347485,-12.223808,1012.945,0.0
1981-01-27,2.6555228,-4.7238097,1015.6531,0.0
1981-01-28,0.00089037046,3.5666668,1014.41016,10.557333728
1981-01-29,2.8451724,2.795238,1012.84283,8.273904479999999
1981-01-30,2.1679347,-0.51428574,1002.51337,0.0
1981-01-31,1.342724,-2.552381,1002.9255,0.0
1981-02-01,0.0385904,0.22857144,995.27844,0.6765714624
1981-02-02,5.3190293,-5.080952,998.0726,0.0
1981-02-03,0.6615899,-4.323809,977.05347,0.0
1981-02-04,2.886976,-9.947619,978.1831,0.0
1981-02-05,0.2202337,-15.414287,989.56995,0.0
1981-02-06,2.1767073,-14.442858,995.6786,0.0
1981-02-07,0.6104266,-2.8761904,979.34644,0.0
1981-02-08,0.15066086,-6.547619,987.4485,0.0
1981-02-09,0.009799259,-7.7380958,998.34375,0.0
1981-02-10,0.0,-9.342857,1011.38403,0.0
1981-02-11,0.0,-11.5380945,1016.37805,0.0
1981-02-12,0.056760494,-7.5904765,1021.7497,0.0
1981-02-13,0.1605449,-10.976191,1027.3901,0.0
1981-02-14,1.164932,-12.2047615,1019.2676,0.0
1981-02-15,0.06491201,-13.890477,1016.6596,0.0
1981-02-16,1.528285,-16.366667,1018.8324,0.0
1981-02-17,0.34530896,-7.4095235,1030.7057,0.0
1981-02-18,0.044021256,-9.028572,1042.9291,0.0
1981-02-19,0.009951932,-10.895238,1042.5629,0.0
1981-02-20,0.1730586,-15.485715,1037.0519,0.0
1981-02-21,0.73902553,-11.590477,1027.5093,0.0
1981-02-22,0.46568576,-9.276191,1027.617,0.0
1981-02-23,0.125294,-7.495238,1037.9543,0.0
1981-02-24,0.08379618,-7.1047616,1045.6858,0.0
1981-02-25,4.60845,-6.214286,1043.0485,0.0
1981-02-26,0.016828364,-9.419047,1043.2152,0.0
1981-02-27,0.008678837,-11.847619,1047.9701,0.0
1981-02-28,0.0,-11.714287,1044.7748,0.0
1981-03-01,0.0103218015,-9.461905,1030.721,0.0
1981-03-02,0.0,-6.5428567,1018.8036,0.0
1981-03-03,0.06135101,-6.704762,1011.187,0.0
1981-03-04,0.032387514,-13.990476,1010.169,0.0
1981-03-05,0.0,-22.323809,1012.346,0.0
1981-03-06,0.0,-23.966667,1017.3086,0.0
1981-03-07,0.0,-19.804762,1019.9427,0.0
1981-03-08,1.4126643,-11.352382,1007.82526,0.0
1981-03-09,8.76237,-6.2904763,988.62537,0.0
1981-03-10,1.5178403,-8.890476,990.53076,0.0
1981-03-11,0.03722881,-13.919048,1006.1502,0.0
1981-03-12,3.0702972,-17.100002,1010.7488,0.0
1981-03-13,4.15779,-11.009523,1001.3361,0.0
1981-03-14,0.0014165484,-12.942857,1005.8173,0.0
1981-03-15,0.0,-18.190475,1012.6665,0.0
1981-03-16,0.068041354,-17.038095,1013.6301,0.0
1981-03-17,0.013915424,-5.5190477,1007.0667,0.0
1981-03-18,0.0,-11.390476,1006.6582,0.0
1981-03-19,1.3972677,-5.3666663,998.54065,0.0
1981-03-20,0.6052557,-2.5809522,988.70667,0.0
1981-03-21,0.39596066,-4.985714,1001.0602,0.0
1981-03-22,2.898755,-3.1380954,994.37994,0.0
1981-03-23,1.7784823,2.6571429,985.5052,7.865142984
1981-03-24,6.414045,1.147619,994.0835,3.39695224
1981-03-25,0.10546652,-2.6857142,996.5318,0.0
1981-03-26,0.0,-7.980953,1005.305,0.0
1981-03-27,0.0,-12.185714,1011.9107,0.0
1981-03-28,0.0,-9.32381,1023.4536,0.0
1981-03-29,0.0,-4.6857142,1025.8381,0.0
1981-03-30,0.0,0.12380953,1023.6794,0.3664762088
1981-03-31,0.13267715,0.72380954,1023.1079,2.1424762384
1981-04-01,-1.1490808,0.6666667,1028.7181,1.973333432
1981-04-02,-1.10852262,1.4380953,1027.7783,4.256762088
1981-04-03,-1.2594587,3.5904763,1021.63934,10.627809848
1981-04-04,-1.1925865,0.26190472,1023.4661,0.7752379711999999
1981-04-05,-0.96861166,-0.8238095,1015.98883,0.0
1981-04-06,-1.3853016,2.7523808,1009.2262,8.147047168
1981-04-07,-1.2216463,2.2523813,1014.9952,6.667048648000001
1981-04-08,-1.2617567,1.933333,1016.1848,5.72266568
1981-04-09,-0.872670009,0.5666667,1013.58417,1.677333432
1981-04-10,0.230943,2.2,1011.09796,6.5120000000000005
1981-04-11,-1.9886256,3.995238,1012.30804,11.82590448
1981-04-12,1.0333441,2.9714286,1014.76807,8.795428656
1981-04-13,3.2142464500000005,1.8523812,994.02893,5.483048352
1981-04-14,-1.04082702,0.9,1007.8005,2.664
1981-04-15,-1.25227807,-0.11428572,1013.49445,0.0
1981-04-16,-1.4760885334,-0.77619046,1025.073,0.0
1981-04-17,-1.36770863,-0.8619048,1025.8613,0.0
1981-04-18,-0.8954399,1.9380953,1012.25977,5.736762088
1981-04-19,-1.7090445,0.44761902,1020.2844,1.3249522992
1981-04-20,-0.2120889999999999,2.4571426,1005.13525,7.273142096
1981-04-21,-1.18903534,-4.92381,1000.70404,0.0
