date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.052221216,-8.206522,976.4628,0.0
1981-01-02,0.15644677,-9.023913,984.40753,0.0
1981-01-03,0.36490417,-14.597827,992.0479,0.0
1981-01-04,0.42727113,-16.793476,997.7039,0.0
1981-01-05,0.42177552,-17.92826,1003.51544,0.0
1981-01-06,2.8842037,-17.986958,1001.4477,0.0
1981-01-07,1.085185,-10.402173,1011.70294,0.0
1981-01-08,5.216452,-15.123914,1014.3638,0.0
1981-01-09,2.5669749,-2.3434782,997.61865,0.0
1981-01-10,0.5304516,-8.104348,1001.11523,0.0
1981-01-11,1.1958187,-10.534783,1004.5506,0.0
1981-01-12,0.8838414,-2.693478,990.0708,0.0
1981-01-13,1.9913948,-2.326087,991.85284,0.0
1981-01-14,1.0938993,-7.867391,988.5924,0.0
1981-01-15,1.1604153,-6.3130426,983.3904,0.0
1981-01-16,0.8695155,-6.1521745,983.58435,0.0
1981-01-17,2.2159488,-5.3108697,994.1945,0.0
1981-01-18,0.74732286,-8.87174,1013.96954,0.0
1981-01-19,0.49233237,-11.141306,1023.92365,0.0
1981-01-20,0.8003122,-12.426089,1020.3366,0.0
1981-01-21,0.94357866,-8.923912,1024.1102,0.0
1981-01-22,0.5814978,-7.163045,1021.873,0.0
1981-01-23,0.5664313,-3.0717392,1014.2123,0.0
1981-01-24,1.0583715,0.36956525,998.8646,1.09391314
1981-01-25,1.1005167,0.40869564,986.5454,1.2097390944000002
1981-01-26,0.10036087,-11.736956,1008.92084,0.0
1981-01-27,1.1298324,-11.384783,1012.56903,0.0
1981-01-28,0.0060191215,2.376087,1007.02325,7.03321752
1981-01-29,5.844921,2.0521739,1007.7843,6.074434744
1981-01-30,6.562081,-2.7173913,1000.2339,0.0
1981-01-31,1.9897753,-10.991303,1003.5786,0.0
1981-02-01,1.7077718,-3.5108695,986.86847,0.0
1981-02-02,0.9450622,-9.602173,998.3312,0.0
1981-02-03,0.563405,-8.658694,979.4375,0.0
1981-02-04,1.0550108,-12.891303,979.44244,0.0
1981-02-05,1.2871802,-14.119565,990.0781,0.0
1981-02-06,0.45708236,-21.291306,999.7326,0.0
1981-02-07,3.2101014,-5.7260876,983.5259,0.0
1981-02-08,0.36453053,-6.6239133,989.8696,0.0
1981-02-09,0.038957145,-9.57174,999.5762,0.0
1981-02-10,0.09598484,-10.306521,1011.8067,0.0
1981-02-11,0.0,-9.043478,1018.2654,0.0
1981-02-12,0.0,-12.347826,1023.38715,0.0
1981-02-13,0.1408027,-17.706522,1027.7946,0.0
1981-02-14,0.007427378,-18.113043,1022.3857,0.0
1981-02-15,0.17612527,-14.92174,1018.1943,0.0
1981-02-16,0.90129405,-16.471739,1018.44666,0.0
1981-02-17,0.21025684,-16.563044,1030.5156,0.0
1981-02-18,0.060853206,-10.702174,1045.4214,0.0
1981-02-19,0.002153725,-16.428265,1046.062,0.0
1981-02-20,0.010603564,-18.804346,1041.9093,0.0
1981-02-21,0.36846116,-15.102174,1033.2726,0.0
1981-02-22,0.2838826,-10.080435,1029.1466,0.0
1981-02-23,0.5603402,-9.26087,1039.5199,0.0
1981-02-24,0.15404424,-10.652173,1048.9625,0.0
1981-02-25,0.708683,-13.595653,1047.8499,0.0
1981-02-26,0.0036323485,-9.341303,1046.6461,0.0
1981-02-27,0.023241831,-11.002174,1048.4371,0.0
1981-02-28,0.016344646,-10.832608,1044.677,0.0
1981-03-01,0.04874924,-10.97174,1031.1553,0.0
1981-03-02,0.12286355,-8.630435,1018.7747,0.0
1981-03-03,0.6879288,-6.9173894,1010.737,0.0
1981-03-04,0.10527688,-15.273912,1009.54376,0.0
1981-03-05,0.0,-22.163046,1011.2068,0.0
1981-03-06,0.0004662901,-22.191303,1015.15173,0.0
1981-03-07,0.0068587647,-18.341307,1018.6159,0.0
1981-03-08,0.06414567,-20.069565,1015.0704,0.0
1981-03-09,8.214239,-11.873914,999.2882,0.0
1981-03-10,4.447848,-9.573912,987.65,0.0
1981-03-11,0.4891005,-14.486957,1006.937,0.0
1981-03-12,0.0,-18.676086,1014.1725,0.0
1981-03-13,0.0,-17.306522,1008.8131,0.0
1981-03-14,0.0,-18.86739,1011.8198,0.0
1981-03-15,0.0,-20.717392,1013.0907,0.0
1981-03-16,0.02594641,-19.467392,1013.8891,0.0
1981-03-17,0.87710935,-15.3891325,1007.09436,0.0
1981-03-18,0.2843586,-10.078259,1003.55963,0.0
1981-03-19,1.3931537,-12.57826,1004.2337,0.0
1981-03-20,1.2982799,-3.3130436,989.83026,0.0
1981-03-21,0.378848,-6.2456517,999.3618,0.0
1981-03-22,1.1593624,-7.658695,1000.1535,0.0
1981-03-23,0.56358457,-1.3956523,991.9379,0.0
1981-03-24,4.2555037,1.4934782,991.88434,4.420695472
1981-03-25,6.557066,-0.5369564,991.72186,0.0
1981-03-26,0.26015133,-5.78913,1002.21564,0.0
1981-03-27,0.0,-10.569565,1006.9167,0.0
1981-03-28,0.0,-8.073913,1018.3854,0.0
1981-03-29,0.0,-7.306522,1026.7241,0.0
1981-03-30,0.0,0.063043475,1022.0607,0.186608686
1981-03-31,0.36381188,1.6847824,1020.6504,4.986955904
1981-04-01,-0.911597345,1.8456522,1026.5847,5.463130512
1981-04-02,-1.10128717,1.4869566,1026.4717,4.401391536
1981-04-03,-0.33445829,2.5217392,1018.61414,7.464348031999999
1981-04-04,-1.1565398,0.93260866,1020.27795,2.7605216336
1981-04-05,-1.268724697,1.6217393,1012.8745,4.800348328
1981-04-06,-1.3573015300000002,0.61521727,1004.70874,1.8210431192
1981-04-07,-0.74462618,-0.68695647,1012.87897,0.0
1981-04-08,-0.70299857,0.0152174,1015.758,0.045043504
1981-04-09,-1.3486605,-3.197826,1018.0389,0.0
1981-04-10,1.04121273,-2.9760869,1008.7124,0.0
1981-04-11,-1.12154307,3.4282606,1004.5208,10.147651376
1981-04-12,-0.9772629,1.7847829,1014.95807,5.282957384
1981-04-13,4.5216294,1.404348,994.08746,4.15687008
1981-04-14,-0.0909543499999999,-0.3847826,1002.3789,0.0
1981-04-15,-0.93911069,-3.7913039,1010.7848,0.0
1981-04-16,-1.0793846850000002,-3.628261,1022.12103,0.0
1981-04-17,-1.26482274,-3.8913043,1024.3197,0.0
1981-04-18,-0.89855679,-0.88913053,1010.33136,0.0
1981-04-19,-1.40583869,-0.56521744,1017.3275,0.0
1981-04-20,0.2958358999999999,0.74565214,1000.00543,2.2071303344
1981-04-21,0.5989910999999999,-5.482609,995.0277,0.0
1981-04-22,-0.5323602300000001,-8.11087,999.0394,0.0
1981-04-23,-0.4561943,-7.7478266,1002.31775,0.0
1981-04-24,0.8697716999999998,-5.0521736,1005.8426,0.0
1981-04-25,-0.0638459999999999,-4.6173916,1007.8071,0.0
1981-04-26,-1.207621186,-4.945652,1013.4603,0.0
1981-04-27,-0.39804553,-2.8869562,1013.7196,0.0
1981-04-28,1.160508,-0.48913044,1008.9805,0.0
1981-04-29,-1.06966035,-2.0630436,1003.54596,0.0
1981-04-30,-1.4408581267,-4.13913,1004.10736,0.0
1981-05-01,-1.2374714946,-4.5999994,1005.45264,0.0
1981-05-02,2.9967796,-3.6760871,1004.44147,0.0
1981-05-03,-0.29882465,0.797826,995.56506,2.36156496
1981-05-04,-1.28880175,-0.39565215,1000.19965,0.0
1981-05-05,-2.1733468,2.4347825,1011.2786,7.2069562
1981-05-06,2.1250235,4.6217394,1017.0404,13.680348624
1981-05-07,-0.5214414999999999,2.6282606,1017.5354,7.779651375999999
1981-05-08,-2.256962,5.8521733,1025.154,17.322432967999998
1981-05-09,-3.2731626,8.806521,1025.4999,26.06730216
1981-05-10,-3.1985323,10.034782,1019.245,29.70295472
1981-05-11,-2.8439536,4.7304344,1028.9507,14.002085824
1981-05-12,-2.7814372,6.1282616,1031.5033,18.139654336
1981-05-13,-3.2306542,7.645652,1029.014,22.63112992
1981-05-14,-3.7537599,9.891304,1023.7854,17.625366
1981-05-15,-2.8796718,4.406522,1027.204,10.761567
1981-05-16,-2.9225929,6.0391307,1026.6296,6.4035616
1981-05-17,-3.625917,10.499999,1021.21436,4.5413203
1981-05-18,-3.8039963,12.245652,1021.0809,1.9605998
1981-05-19,-3.9211684932,13.37174,1021.57733,0.81380385
1981-05-20,-4.266934,15.286957,1022.89105,0.0
1981-05-21,-3.83523302,15.556524,1021.84186,0.0
1981-05-22,-4.068752109999999,16.341303,1020.8031,0.0
1981-05-23,-4.482439,18.07609,1018.5349,0.0
1981-05-24,-3.873607745,16.484783,1018.53845,0.0
1981-05-25,-4.35829483,17.986956,1012.30756,0.0
1981-05-26,-0.1119715999999999,12.232609,1010.5197,0.0
1981-05-27,-1.4097946499999998,5.069565,1015.15686,0.0
1981-05-28,-1.52010437,7.502174,1016.6792,0.0
1981-05-29,-2.67842532,13.617391,1009.9358,0.0
1981-05-30,-1.1839874,13.643479,1005.5885,0.0
1981-05-31,0.7630077,7.719565,1010.4814,0.0
1981-06-01,1.0218038999999997,8.645652,1016.8329,0.0
1981-06-02,-1.82880824,9.217391,1009.71747,0.0
1981-06-03,-2.74548956,6.819565,1017.4976,0.0
1981-06-04,12.3553799,8.504349,1006.0224,0.0
1981-06-05,6.2699928,10.186956,995.0425,0.0
1981-06-06,3.7492723,9.513043,999.88983,0.0
1981-06-07,5.5564160000000005,9.613045,1005.88586,0.0
1981-06-08,0.8014771999999999,10.993479,1002.77386,0.0
1981-06-09,0.2713486999999999,13.06739,1006.8581,0.0
1981-06-10,0.2765501000000001,16.343477,1002.3496,0.0
1981-06-11,9.263596499999998,11.545653,1001.2552,0.0
1981-06-12,0.7939797,7.697827,1010.4388,0.0
1981-06-13,15.5806733,4.521739,1013.147,0.0
1981-06-14,3.2704713,5.2478266,999.6363,0.0
1981-06-15,0.1318643000000001,4.804348,998.29297,0.0
1981-06-16,-3.085531828,7.997826,1007.94464,0.0
1981-06-17,-1.0442924000000002,11.63913,1007.4538,0.0
1981-06-18,2.7493574,11.143477,1008.54596,0.0
1981-06-19,-1.989300514,10.217391,1013.57623,0.0
1981-06-20,7.2234605,9.084784,1013.3095,0.0
1981-06-21,2.4739752,11.039131,1011.2393,0.0
1981-06-22,-3.4132412,12.006521,1028.928,0.0
1981-06-23,-4.047061,14.291303,1027.8584,0.0
1981-06-24,-2.968557,14.765218,1021.56384,0.0
1981-06-25,5.274933800000001,17.30652,1015.05505,0.0
1981-06-26,-1.4266156000000003,20.91522,1009.12524,0.0
1981-06-27,-1.6425281000000005,16.586956,1011.1337,0.0
1981-06-28,-3.742596637,14.026087,1018.82294,0.0
1981-06-29,0.7060207000000003,13.476087,1015.3818,0.0
1981-06-30,17.3902663,13.884782,1004.8289,0.0
1981-07-01,-2.3172299,15.541304,999.70905,0.0
1981-07-02,0.0703306000000001,12.776085,1000.46466,0.0
1981-07-03,-2.8752553,14.37826,1006.72095,0.0
1981-07-04,-2.69461945,17.800001,1010.60767,0.0
1981-07-05,-0.5078516,15.923913,1006.0019,0.0
1981-07-06,-3.98447,13.819567,1013.3539,0.0
1981-07-07,-0.5097376999999996,15.96087,1014.5282,0.0
1981-07-08,-3.4745383,16.176085,1012.99744,0.0
1981-07-09,-3.9052353,15.26087,1020.3633,0.0
1981-07-10,-4.62162,20.539133,1021.6938,0.0
1981-07-11,-5.4800985306,21.463045,1018.82764,0.0
1981-07-12,-4.7391837180000005,20.658697,1013.8166,0.0
1981-07-13,-3.61627574,20.054346,1011.32056,0.0
1981-07-14,0.1505934,17.504349,1008.45667,0.0
1981-07-15,13.6809322,14.900001,1002.71576,0.0
1981-07-16,2.7128283000000004,13.554349,1000.0868,0.0
1981-07-17,-2.46101275,13.806521,1006.4618,0.0
1981-07-18,3.2869761,12.434783,1009.1801,0.0
1981-07-19,-0.0940853999999999,14.395654,1011.31964,0.0
1981-07-20,0.4937521000000002,13.576088,1008.8875,0.0
1981-07-21,-1.4073814,14.141303,1010.5453,0.0
1981-07-22,-0.0680361,18.184786,1002.2827,0.0
1981-07-23,-0.0780715999999999,16.873913,998.7545,0.0
1981-07-24,-2.1063724,15.573913,1007.5687,0.0
1981-07-25,-3.2937837,17.17826,1017.117,0.0
1981-07-26,-3.6042125,16.06087,1020.56104,0.0
1981-07-27,-3.6776612,15.389131,1017.6563,0.0
1981-07-28,4.5051262,16.267391,1014.9472,0.0
1981-07-29,-1.5481702000000002,17.63261,1014.56964,0.0
1981-07-30,3.5365317,17.591303,1011.8604,0.0
1981-07-31,-0.7388792000000002,17.941303,1005.2728,0.0
1981-08-01,-1.264782,15.756521,1009.365,0.0
1981-08-02,-2.659731485,15.952172,1013.3136,0.0
1981-08-03,-2.98408462,14.578263,1016.28973,0.0
1981-08-04,-2.98624989,14.360869,1022.70154,0.0
1981-08-05,-3.1954645900000003,16.365217,1020.6605,0.0
1981-08-06,0.2128123999999998,15.173912,1017.58246,0.0
1981-08-07,0.2932684000000001,14.639131,1015.6528,0.0
1981-08-08,-2.55519678,12.213044,1020.1132,0.0
1981-08-09,-2.16247594,10.360869,1017.5743,0.0
1981-08-10,0.5346397999999999,9.441304,1011.1584,0.0
1981-08-11,-1.39256253,10.297827,1011.0558,0.0
1981-08-12,-1.6710268726,11.523912,1012.2633,0.0
1981-08-13,-1.15269847,12.071739,1012.07404,0.0
1981-08-14,-1.30301152,12.758697,1011.75525,0.0
1981-08-15,4.049266599999999,11.452173,1007.36676,0.0
1981-08-16,-0.7668456000000001,14.004347,1006.6013,0.0
1981-08-17,10.8591254,13.863045,1001.2332,0.0
1981-08-18,6.1528191,11.521739,995.5965,0.0
1981-08-19,4.9900707,11.110869,1000.42444,0.0
1981-08-20,2.3155201,12.076086,1001.8774,0.0
1981-08-21,3.8577819,12.269566,1005.7032,0.0
1981-08-22,3.0065738,12.491305,1004.95685,0.0
1981-08-23,-0.8877012999999999,11.534783,1011.14435,0.0
1981-08-24,3.5543551000000004,8.554349,1014.4368,0.0
1981-08-25,3.8264031,6.9239125,1010.7652,0.0
1981-08-26,-1.19971175,9.004348,1009.3095,0.0
1981-08-27,11.657139,9.015219,1009.1827,0.0
1981-08-28,4.835605800000001,7.4782624,1007.0163,0.0
1981-08-29,-0.90401139,10.050001,1011.66864,0.0
1981-08-30,-0.6759415799999999,10.519565,1010.8902,0.0
1981-08-31,1.3199280000000002,10.173913,1013.78235,0.0
1981-09-01,1.13367374,9.98913,1016.921,0.0
1981-09-02,-0.0428244500000001,10.047827,1023.2099,0.0
1981-09-03,-0.33766035,10.336956,1021.7597,0.0
1981-09-04,-0.75924277,10.695651,1022.34845,0.0
1981-09-05,-1.2359194,9.673914,1019.8013,0.0
1981-09-06,0.2895213999999999,8.710871,1009.3843,0.0
1981-09-07,-1.53189578,6.458695,1009.92145,0.0
1981-09-08,-1.3731959699999998,8.136955,1012.39435,0.0
1981-09-09,-1.4206556,8.408696,1015.3776,0.0
1981-09-10,-1.3040340683999998,7.8021746,1019.21405,0.0
1981-09-11,-1.085261561,6.8152175,1023.21674,0.0
1981-09-12,3.8598587,6.5043483,1020.30426,0.0
1981-09-13,3.7565765,5.2326083,1016.6029,0.0
1981-09-14,0.0172978,5.097826,1017.39026,0.0
1981-09-15,0.95371446,4.3521733,1017.76953,0.0
1981-09-16,-0.38672882,4.8652177,1023.33673,0.0
1981-09-17,-0.72713247,4.1195655,1023.2915,0.0
1981-09-18,-0.886719912,3.2152174,1020.9887,0.0
1981-09-19,-0.8026640230000001,2.5021741,1020.1081,0.0
1981-09-20,-0.8106909440000001,1.5630435,1019.362,0.0
1981-09-21,5.44562126,4.406522,1014.9609,0.0
1981-09-22,3.92735456,4.365217,1005.01996,0.0
1981-09-23,9.2401255,7.2956514,999.06573,0.0
1981-09-24,-0.08332286,6.106523,1000.7121,0.0
1981-09-25,2.5039804,7.1326094,1008.2474,0.0
1981-09-26,0.827212,9.815217,1013.3099,0.0
1981-09-27,0.30756967,9.976089,1016.70526,0.0
1981-09-28,-0.5776515183,8.050001,1024.2937,0.0
1981-09-29,-0.69890493,12.645651,1018.0367,0.0
1981-09-30,-0.81179376,11.780436,1008.6187,0.0
1981-10-01,1.196875,8.854348,1014.19617,0.0
1981-10-02,0.11866002,10.02826,1016.1224,0.0
1981-10-03,2.4632974,11.026087,1014.29846,0.0
1981-10-04,0.99119985,9.897826,1007.3913,0.0
1981-10-05,2.5857182,10.349998,1000.84485,0.0
1981-10-06,1.3383591,8.628262,1002.2227,0.0
1981-10-07,3.2030396,5.0956516,1007.67737,0.0
1981-10-08,4.4927926,7.2326083,996.08093,0.0
1981-10-09,0.7924453,5.134783,998.3875,0.0
1981-10-10,2.6095262,2.9608696,1007.3798,0.0
1981-10-11,3.366608,6.382608,996.034,0.0
1981-10-12,5.0618534,6.2934785,984.82306,0.0
1981-10-13,0.3469086,5.5304346,993.6975,0.0
1981-10-14,0.55251753,3.8695652,997.4787,0.0
1981-10-15,3.3381362,3.0282607,996.64905,0.0
1981-10-16,2.208223,2.1543477,1001.96655,0.0
1981-10-17,0.71479285,2.297826,1011.49023,0.0
1981-10-18,0.0,1.3304349,1019.59247,0.0
1981-10-19,0.0,-0.6086956,1019.98267,0.0
1981-10-20,0.0,-3.302174,1013.29755,0.0
1981-10-21,9.230267,0.10217392,1003.5899,0.0
1981-10-22,0.31052196,2.3695655,1005.1215,1.3583307
1981-10-23,0.4240284,0.62826097,1015.355,0.4530249
1981-10-24,2.8322058,1.4586954,1010.813,0.47218862
1981-10-25,0.5181526,2.121739,1012.2869,0.0
1981-10-26,8.494865,0.6369564,1009.65106,0.0
1981-10-27,2.2059968,0.4565218,1009.5491,1.351304528
1981-10-28,0.914542,-0.30217394,1015.8188,0.0
1981-10-29,0.8946851,0.20217392,1010.1,0.5984348032
