date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,1.164832,-0.97619057,968.2791,0.0
1981-01-02,0.07311164,-5.6857142,986.2306,0.0
1981-01-03,0.33702427,-6.1285715,989.7046,0.0
1981-01-04,0.6757853,-6.3047614,992.32355,0.0
1981-01-05,0.026776675,-13.657144,1002.6255,0.0
1981-01-06,0.0,-21.195238,1009.1753,0.0
1981-01-07,0.057081766,-19.147617,1014.2662,0.0
1981-01-08,3.1484818,-8.066667,1021.43,0.0
1981-01-09,6.673005,0.6571428,1003.343,1.945142688
1981-01-10,0.07032039,-1.4761903,1005.01886,0.0
1981-01-11,0.15701506,-4.0142856,1013.5655,0.0
1981-01-12,7.267051,-0.35238093,997.2166,0.0
1981-01-13,9.099709,-2.1619048,994.3366,0.0
1981-01-14,4.837991,-3.747619,989.9622,0.0
1981-01-15,7.7085266,-3.461905,973.01575,0.0
1981-01-16,6.2928967,-2.5523808,976.71466,0.0
1981-01-17,0.020597009,-4.9,992.8739,0.0
1981-01-18,0.8759852,-7.6619043,1015.32196,0.0
1981-01-19,6.749094,-5.847619,1012.90393,0.0
1981-01-20,0.05974806,-6.5190473,1015.94244,0.0
1981-01-21,0.44100308,-6.923809,1024.0502,0.0
1981-01-22,1.1702716,-1.3238096,1021.4478,0.0
1981-01-23,0.039124098,-0.25238097,1019.7928,0.0
1981-01-24,4.1032233,0.9142858,1008.9897,2.706285968
1981-01-25,0.9115486,-0.13809524,993.80615,0.0
1981-01-26,0.007828419,-7.466666,1014.4227,0.0
1981-01-27,0.0,-4.9047613,1024.6694,0.0
1981-01-28,0.0,0.85238105,1022.734,2.523047908
1981-01-29,0.71693355,0.6333334,1019.75653,1.874666864
1981-01-30,3.8188283,1.1761904,1006.23346,3.481523584
1981-01-31,0.4512857,-0.16666669,1006.49646,0.0
1981-02-01,0.0,0.35238096,1000.1023,1.0430476416
1981-02-02,4.058088,-1.9285715,1003.2866,0.0
1981-02-03,1.2601973,-0.7523809,975.93176,0.0
1981-02-04,0.03892465,-5.1809525,977.66534,0.0
1981-02-05,0.086022936,-9.661905,988.36774,0.0
1981-02-06,6.1167173,-8.890476,1001.9466,0.0
1981-02-07,0.03472475,-2.1000001,985.34467,0.0
1981-02-08,5.526535,-4.3190475,987.71436,0.0
1981-02-09,0.052686203,-4.5333333,999.41565,0.0
1981-02-10,0.0029842753,-6.552381,1013.6475,0.0
1981-02-11,0.20667726,-7.771429,1015.05304,0.0
1981-02-12,0.73415715,-8.038096,1019.0208,0.0
1981-02-13,0.22271231,-10.795238,1026.2865,0.0
1981-02-14,0.63748986,-9.423809,1020.3532,0.0
1981-02-15,0.028090307,-11.128571,1014.6195,0.0
1981-02-16,0.35758767,-11.3714285,1018.7411,0.0
1981-02-17,0.059105605,-4.542857,1029.4622,0.0
1981-02-18,0.05201251,-5.447619,1040.0375,0.0
1981-02-19,0.10344861,-9.271428,1037.4884,0.0
1981-02-20,0.56688726,-9.457144,1032.3308,0.0
1981-02-21,1.483999,-7.4000006,1026.0677,0.0
1981-02-22,0.045141816,-6.6047616,1029.9028,0.0
1981-02-23,0.019533802,-5.214286,1036.5656,0.0
1981-02-24,0.05147986,-4.5476193,1041.909,0.0
1981-02-25,0.037533585,-3.9952378,1042.1531,0.0
1981-02-26,0.6934436,-4.8666663,1039.7947,0.0
1981-02-27,0.0014634901,-8.171429,1047.9923,0.0
1981-02-28,0.0,-10.842856,1046.3749,0.0
1981-03-01,0.046014827,-10.138096,1033.9183,0.0
1981-03-02,0.0,-9.995238,1021.21576,0.0
1981-03-03,0.0,-12.580953,1011.4237,0.0
1981-03-04,0.004233398,-11.228572,1006.8729,0.0
1981-03-05,0.0,-12.77619,1009.2367,0.0
1981-03-06,0.0,-15.914285,1015.7952,0.0
1981-03-07,2.0860832,-16.328571,1020.1703,0.0
1981-03-08,5.460244,-8.028571,1003.13214,0.0
1981-03-09,2.8383324,-0.9380952,990.01434,0.0
1981-03-10,0.9765528,-6.3952374,991.20013,0.0
1981-03-11,0.0035910148,-10.380953,1002.67236,0.0
1981-03-12,0.16459092,-13.709523,1010.0661,0.0
1981-03-13,13.739019,-9.442858,1002.91046,0.0
1981-03-14,6.7975683,-7.3095236,997.6356,0.0
1981-03-15,0.0017727579,-12.485715,1009.129,0.0
1981-03-16,0.0014972796,-15.195238,1015.5469,0.0
1981-03-17,0.0358895,-6.890476,1011.4629,0.0
1981-03-18,1.9252077,-3.3761907,1008.26263,0.0
1981-03-19,13.326073,-2.4619045,998.32294,0.0
1981-03-20,0.22037745,-1.3857144,990.762,0.0
1981-03-21,3.610454,-3.8190475,1003.42957,0.0
1981-03-22,2.7894175,0.8619048,994.72833,2.551238208
1981-03-23,0.011664599,2.4285717,993.8212,7.188572232
1981-03-24,4.493194,1.6999998,999.76355,5.031999408
1981-03-25,0.0,0.79999995,998.52234,2.367999852
1981-03-26,0.0,-2.5095239,1006.4219,0.0
1981-03-27,0.0,-3.0761905,1009.33704,0.0
1981-03-28,0.0,-5.1047616,1024.4656,0.0
1981-03-29,0.0,-3.2190475,1030.612,0.0
1981-03-30,0.0,-1.1857144,1028.8933,0.0
1981-03-31,0.0,1.5095239,1024.4983,4.468190744
1981-04-01,-1.669425,2.6285715,1028.4685,7.78057164
1981-04-02,-1.2720861,1.7952379,1031.4221,5.313904184
1981-04-03,-1.1766355,2.9619045,1025.048,8.76723732
1981-04-04,-1.6717155,3.1380954,1021.39734,9.288762384
1981-04-05,-1.5051059,1.5428572,1018.538,4.566857312
1981-04-06,-1.5730827,3.1714284,1011.8901,9.387428064
1981-04-07,-1.7356558,4.161905,1015.6642,12.3192388
1981-04-08,-1.7185011,3.8619046,1017.8177,11.431237616
1981-04-09,-0.7328227150000001,1.8333334,1011.54584,5.426666864
1981-04-10,-0.835978499,1.8809522,1016.88074,5.567618512
1981-04-11,-2.104582,4.438095,1015.3864,13.1367612
1981-04-12,-1.7860206599999997,4.133333,1018.8432,12.23466568
1981-04-13,1.5476751000000002,2.909524,998.5875,8.61219104
1981-04-14,-1.14626313,1.4142858,1005.66907,4.186285968
1981-04-15,-1.759004803,1.0714285,1010.28656,3.17142836
1981-04-16,-1.7997141,-0.042857144,1021.8425,0.0
1981-04-17,-1.6586354209999998,-0.8095237,1026.7252,0.0
1981-04-18,-0.5026526400000001,-0.06666666,1017.09796,0.0
1981-04-19,-1.253959945,2.338095,1020.02435,6.9207612
1981-04-20,-2.079806,2.6000001,1011.64575,7.696000295999999
1981-04-21,-1.4068304500000002,-0.9809525,999.9771,0.0
1981-04-22,-1.327082333,-4.5809517,1001.3466,0.0
1981-04-23,-0.99155207,-4.2761903,1007.0413,0.0
1981-04-24,-1.08633422,-3.057143,1009.9925,0.0
1981-04-25,-1.55818935,0.08095239,1011.90466,0.2396190744
1981-04-26,-1.9416422,1.2761905,1017.2899,3.3550324
1981-04-27,-1.3869189,2.309524,1015.08466,3.1371243
1981-04-28,-0.2830745,0.98571426,1003.302,2.78784
1981-04-29,-2.2703505816,1.6380951,1003.56213,2.398145
1981-04-30,-2.334058312,1.2809522,1000.13135,1.4630101
1981-05-01,7.273056349999999,0.6761905,993.40765,0.36134332
1981-05-02,0.46440797,1.4285715,996.94354,2.202089
1981-05-03,-0.7804893800000001,1.352381,997.1378,1.3004718
1981-05-04,-2.061744846,1.8285717,1003.9126,0.4203198
1981-05-05,-2.644878,4.7952375,1010.0973,0.42875123
1981-05-06,5.3025663000000005,5.147619,1011.50446,0.0
1981-05-07,-2.7681324,7.8285713,1018.7687,0.0
1981-05-08,-3.2366762,8.995238,1026.6873,0.5918614
1981-05-09,-3.6157248,11.314284,1025.6005,0.45035484
1981-05-10,-3.609820411,15.400002,1021.8441,0.23074082
1981-05-11,-3.8820329,13.904762,1023.79175,0.0
1981-05-12,-4.3503404,10.02381,1026.974,0.0
1981-05-13,-4.129794,10.009523,1026.898,0.0
1981-05-14,-3.9346554,11.566668,1025.7028,0.0
1981-05-15,-4.272586,13.561906,1023.206,0.0
1981-05-16,-4.1218204,10.466667,1024.3438,0.0
1981-05-17,-3.8168972,11.428572,1023.0462,0.0
1981-05-18,-4.197583,14.185714,1021.91925,0.0
1981-05-19,-4.300903,15.652382,1022.18976,0.0
1981-05-20,-3.9476333,15.676191,1024.3369,0.0
1981-05-21,-3.7780845,14.376188,1024.6904,0.0
1981-05-22,-4.244671,16.261906,1022.6664,0.0
1981-05-23,-4.636486,17.352383,1020.91174,0.0
1981-05-24,-4.34661635,18.190475,1018.6476,0.0
1981-05-25,0.2990952,15.719047,1012.85834,0.0
1981-05-26,-2.7275715120000004,11.738094,1011.5417,0.0
1981-05-27,-3.9254789157,14.709523,1012.47943,0.0
1981-05-28,-3.20208043,14.700001,1012.7755,0.0
1981-05-29,-3.07187816,12.480952,1013.13617,0.0
1981-05-30,-1.6019695,12.804762,1009.6579,0.0
1981-05-31,-4.8561463,13.623808,1015.42224,0.0
1981-06-01,-3.4755277,13.838097,1020.65906,0.0
1981-06-02,-3.9767857,14.566668,1013.19934,0.0
1981-06-03,-3.9912705,10.428572,1018.6266,0.0
1981-06-04,6.454642499999999,11.904762,1008.4798,0.0
1981-06-05,-2.5985003,12.866667,1000.5463,0.0
1981-06-06,-2.932118,13.133334,1005.84094,0.0
1981-06-07,-3.2079706000000003,13.157143,1008.4815,0.0
1981-06-08,-3.753775188,13.161904,1007.92206,0.0
1981-06-09,2.9905548,15.638098,1009.1357,0.0
1981-06-10,-0.9256680000000002,15.719048,1006.1468,0.0
1981-06-11,-2.03012792,10.885714,1008.0897,0.0
1981-06-12,21.281319,11.509523,1010.42957,0.0
1981-06-13,20.94558684,9.376191,1002.83295,0.0
1981-06-14,-0.2524936,7.447619,1000.3693,0.0
1981-06-15,-3.4903848,11.219048,1003.85364,0.0
1981-06-16,-0.8544767,9.985715,1002.307,0.0
1981-06-17,4.716262400000001,11.3714285,1000.20557,0.0
1981-06-18,-0.4296534999999999,11.838095,1006.85516,0.0
1981-06-19,-2.89259453,11.280952,1016.38727,0.0
1981-06-20,18.1801656,9.795238,1006.359,0.0
1981-06-21,-3.25071337,12.257144,1017.61084,0.0
1981-06-22,-4.249818,13.861905,1029.4333,0.0
1981-06-23,-0.1018224,11.433332,1025.8113,0.0
1981-06-24,-2.05405769,14.761907,1019.7351,0.0
1981-06-25,2.041218,20.628572,1010.72296,0.0
1981-06-26,-0.0040716,16.461905,1006.8233,0.0
1981-06-27,-2.035437197,12.523809,1014.04816,0.0
1981-06-28,-3.850750375,13.061903,1020.2554,0.0
1981-06-29,-2.84958275,17.485712,1014.9457,0.0
1981-06-30,8.637723,17.057144,1000.2543,0.0
1981-07-01,-0.4344192,12.614286,998.66864,0.0
1981-07-02,-2.7237933880000003,13.352382,1003.68896,0.0
1981-07-03,-4.04476786,15.761904,1010.6395,0.0
1981-07-04,11.5360898,18.690475,1006.08386,0.0
1981-07-05,3.2672794,12.976191,1009.1674,0.0
1981-07-06,-4.606006608,15.533336,1019.45636,0.0
1981-07-07,-4.266449,15.957142,1018.7784,0.0
1981-07-08,-4.551953,17.733334,1017.56335,0.0
1981-07-09,-5.11684,18.995237,1022.4723,0.0
1981-07-10,-5.183823,19.847618,1023.8752,0.0
1981-07-11,-5.1684036,19.52381,1022.0687,0.0
1981-07-12,-5.2803507,19.661903,1016.6063,0.0
1981-07-13,-1.9638253,19.023811,1011.9081,0.0
1981-07-14,-3.622505636,16.261906,1011.549,0.0
1981-07-15,7.8340809,14.166667,1004.9189,0.0
1981-07-16,0.591974,13.571427,1004.8411,0.0
1981-07-17,9.2088014,13.676191,1007.6346,0.0
1981-07-18,-1.9075194,14.919048,1007.9938,0.0
1981-07-19,4.7227867,15.2047615,1009.8923,0.0
1981-07-20,-2.0989511,15.671428,1008.2632,0.0
1981-07-21,1.8902989,14.371428,1004.6202,0.0
1981-07-22,8.0200259,16.671429,995.5852,0.0
1981-07-23,-0.1026686999999997,15.485715,1000.8299,0.0
1981-07-24,8.377002000000001,16.466667,1013.3525,0.0
1981-07-25,-2.332023473,17.49524,1016.5905,0.0
1981-07-26,-3.2172457000000003,20.214285,1015.35974,0.0
1981-07-27,-0.5743159,17.295237,1014.07,0.0
1981-07-28,-3.4688978,17.65238,1014.4267,0.0
1981-07-29,-1.8262596,17.252382,1014.45135,0.0
1981-07-30,5.8652996,17.466667,1004.3127,0.0
1981-07-31,13.176599,15.733333,1002.48706,0.0
1981-08-01,-3.23823884,16.395237,1008.7367,0.0
1981-08-02,-2.9118266104,15.390475,1014.08466,0.0
1981-08-03,-3.732441684,15.533333,1020.9686,0.0
1981-08-04,-3.3435085,15.371428,1025.4758,0.0
1981-08-05,-2.89242622,17.447622,1022.82794,0.0
1981-08-06,-2.21336195,17.209524,1019.5286,0.0
1981-08-07,-3.65329944,17.328571,1020.5945,0.0
1981-08-08,18.155567,12.685714,1019.5884,0.0
1981-08-09,-3.4981496,15.242856,1016.39734,0.0
1981-08-10,-3.6082776,14.642858,1014.5636,0.0
1981-08-11,-2.45636745,14.214286,1012.33044,0.0
1981-08-12,-1.63294316,13.27619,1014.1772,0.0
1981-08-13,-1.8207425,16.285715,1013.66956,0.0
1981-08-14,3.1403454,16.123806,1009.94855,0.0
1981-08-15,-1.26774038,16.680952,1007.36884,0.0
1981-08-16,0.5119707999999998,16.619047,1004.7949,0.0
1981-08-17,18.2512138,12.995237,996.4987,0.0
1981-08-18,-0.8035169999999998,12.923809,1003.64417,0.0
1981-08-19,0.4110437999999998,13.704762,1002.1186,0.0
1981-08-20,4.6767673,13.095238,1002.21857,0.0
1981-08-21,10.05522346,13.271429,1001.36475,0.0
1981-08-22,-0.8396724999999998,14.519048,1004.22974,0.0
1981-08-23,2.694241,13.214286,1010.8301,0.0
1981-08-24,2.233407,10.485714,1013.0646,0.0
1981-08-25,1.4416913999999998,9.752381,1012.40393,0.0
1981-08-26,14.6814321,9.471428,1007.97955,0.0
1981-08-27,2.2640492,10.285714,1003.3564,0.0
1981-08-28,1.8139539,9.476191,999.42725,0.0
1981-08-29,-2.08410751,11.690475,1006.57635,0.0
1981-08-30,0.9282565,10.709525,1008.70135,0.0
1981-08-31,21.4659479,10.214285,1008.95264,0.0
1981-09-01,0.9876485,11.823809,1015.4413,0.0
1981-09-02,3.7109866,11.4761915,1021.64716,0.0
1981-09-03,1.2485931999999995,11.6904745,1022.5252,0.0
1981-09-04,-1.305837431,10.780952,1022.09125,0.0
1981-09-05,-1.5823232834,9.242858,1021.736,0.0
1981-09-06,-1.706362,13.228572,1012.5806,0.0
1981-09-07,-2.1597239393,9.290476,1018.73224,0.0
1981-09-08,-1.7250540586,10.7,1019.56494,0.0
1981-09-09,-1.0763035,12.938096,1016.39453,0.0
1981-09-10,-0.908697,11.4761915,1019.13605,0.0
1981-09-11,-1.8749834,11.52381,1022.5884,0.0
1981-09-12,0.9933465,9.709524,1020.99365,0.0
1981-09-13,-1.0107645,8.847619,1014.90967,0.0
1981-09-14,-0.95057726,5.9571433,1017.6442,0.0
1981-09-15,0.5384798999999998,6.5857143,1015.5138,0.0
1981-09-16,-1.08523518,6.5857143,1019.18097,0.0
1981-09-17,-1.2566887,5.4952383,1019.9352,0.0
1981-09-18,-1.3120302,6.204762,1017.1619,0.0
1981-09-19,-1.1585973207,7.4809527,1017.4679,0.0
1981-09-20,-1.078214,4.604762,1016.671,0.0
1981-09-21,4.16970047,6.0761905,1006.40784,0.0
1981-09-22,2.89628824,9.42381,1008.7724,0.0
1981-09-23,0.8895557000000001,10.823809,1001.8048,0.0
1981-09-24,-0.85977707,10.380953,1004.6154,0.0
1981-09-25,-0.7938989999999999,10.8714285,1012.9814,0.0
1981-09-26,0.7208335400000001,10.699999,1011.40265,0.0
1981-09-27,-0.658288628,11.538096,1020.75073,0.0
1981-09-28,-0.877151064,13.419047,1019.60724,0.0
1981-09-29,-1.30435551,14.352381,1016.587,0.0
1981-09-30,-0.8949221299999999,13.076191,1014.15515,0.0
1981-10-01,0.029995957,10.433333,1018.8173,0.0
1981-10-02,0.04865888,10.790476,1016.4339,0.0
1981-10-03,0.095733605,12.271429,1009.92725,0.0
1981-10-04,10.678745,12.285714,1003.8843,0.0
1981-10-05,4.562214,10.385714,999.596,0.0
1981-10-06,0.01479753,8.619047,1007.762,0.0
1981-10-07,9.713854,8.214286,1004.38617,0.0
1981-10-08,7.8270288,7.9666667,995.90106,0.0
1981-10-09,0.32622576,6.642858,1003.628,0.0
1981-10-10,9.840421,8.204762,1002.31036,0.0
1981-10-11,15.204616,8.214286,991.58716,0.0
1981-10-12,2.8235343,5.695238,983.6182,0.0
1981-10-13,5.5076394,5.7761908,992.7443,0.0
1981-10-14,10.267317,5.419048,995.85333,0.0
1981-10-15,2.4438515,4.766667,995.08606,0.0
1981-10-16,0.6044441,3.5428572,1005.2645,0.0
1981-10-17,6.995174,2.7142856,1010.0137,0.0
1981-10-18,0.08291655,2.495238,1017.1921,0.10855185
1981-10-19,0.06960784,3.1333334,1018.68195,0.0
1981-10-20,16.567583,4.252381,1004.952,0.0
1981-10-21,4.1712775,5.4380956,995.94086,0.0
1981-10-22,0.90278083,4.380953,1009.93146,0.0
1981-10-23,5.8351355,3.5333333,1011.46027,0.0
1981-10-24,2.2800002,3.5047615,1005.3352,0.0
1981-10-25,5.2305093,1.6761907,1013.46857,0.0
1981-10-26,1.1035315,1.5904763,1009.00653,0.496701
1981-10-27,1.3458582,3.204762,1014.2132,0.0
1981-10-28,5.534682,3.9333336,1013.73456,0.0
1981-10-29,5.2729034,2.6238093,1002.4667,0.0
1981-10-30,2.705125,3.0809522,1000.0456,0.0
1981-10-31,0.3690836,2.1285715,999.9325,0.0
1981-11-01,0.0048104,0.25714287,1003.6486,0.0
1981-11-02,0.14163943,-0.45238096,1001.3849,0.0
1981-11-03,0.013582024,-2.4238095,1016.7205,0.0
1981-11-04,8.457658,-0.30952382,1012.6607,0.0
1981-11-05,1.356809,3.1000004,993.5867,0.0
