date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,2.823799,-3.5074077,970.081,0.0
1981-01-02,0.094359525,-8.377777,985.5945,0.0
1981-01-03,3.0700848,-7.2166667,989.64154,0.0
1981-01-04,0.6959699,-8.500001,993.3004,0.0
1981-01-05,0.089790724,-15.574074,1002.61365,0.0
1981-01-06,0.6923397,-19.744446,1006.87506,0.0
1981-01-07,0.74926937,-16.44074,1012.78735,0.0
1981-01-08,2.235997,-8.964814,1018.452,0.0
1981-01-09,3.4670026,-0.28703704,1001.12506,0.0
1981-01-10,0.15650643,-3.0777783,1003.1853,0.0
1981-01-11,0.025448339,-7.1148143,1010.2778,0.0
1981-01-12,2.8189237,-1.0796295,994.34174,0.0
1981-01-13,7.2801523,-2.7,993.3104,0.0
1981-01-14,2.082554,-6.422222,988.69446,0.0
1981-01-15,1.7377919,-4.551852,975.5092,0.0
1981-01-16,2.4941814,-3.7129629,978.44257,0.0
1981-01-17,0.5338597,-4.883333,992.52826,0.0
1981-01-18,0.6945222,-11.781481,1016.1208,0.0
1981-01-19,1.685351,-11.025926,1016.9958,0.0
1981-01-20,0.85915136,-7.5518517,1017.13983,0.0
1981-01-21,1.9114553,-6.5981483,1023.5249,0.0
1981-01-22,0.7004955,-2.6203706,1020.6993,0.0
1981-01-23,0.051636286,-0.75,1017.93176,0.0
1981-01-24,1.4373149,0.5944445,1005.1953,1.75955572
1981-01-25,2.0867825,-0.08518519,990.9179,0.0
1981-01-26,0.015560043,-9.540741,1013.011,0.0
1981-01-27,0.7308707,-6.1148143,1020.895,0.0
1981-01-28,0.070833616,2.2962961,1017.8246,6.797036456000001
1981-01-29,1.3486595,0.39814815,1016.54987,1.178518524
1981-01-30,1.9607724,0.29444447,1003.1396,0.8715556312
1981-01-31,2.1790898,-2.1722224,1005.22424,0.0
1981-02-01,0.24055994,-0.20185183,996.3936,0.0
1981-02-02,6.809394,-4.596296,1000.90497,0.0
1981-02-03,1.4255332,-2.6462958,974.818,0.0
1981-02-04,2.2469661,-8.525927,976.6997,0.0
1981-02-05,0.3208559,-12.35926,988.16833,0.0
1981-02-06,3.1767561,-13.272223,1000.2376,0.0
1981-02-07,0.6842773,-2.3648148,983.0315,0.0
1981-02-08,0.4362013,-5.557408,989.15576,0.0
1981-02-09,0.05431151,-5.8629627,998.95325,0.0
1981-02-10,0.02858384,-7.8648143,1012.26965,0.0
1981-02-11,0.100289196,-11.512962,1016.93854,0.0
1981-02-12,0.4908394,-8.731482,1020.85004,0.0
1981-02-13,0.18459406,-13.06111,1026.7982,0.0
1981-02-14,0.08253638,-13.755555,1020.9698,0.0
1981-02-15,0.054905277,-12.337036,1015.6546,0.0
1981-02-16,0.47432706,-14.644444,1018.27185,0.0
1981-02-17,0.0688524,-8.325926,1029.815,0.0
1981-02-18,0.09466397,-7.233333,1042.2865,0.0
1981-02-19,0.029312149,-10.125926,1041.0393,0.0
1981-02-20,0.20845719,-12.746295,1035.5005,0.0
1981-02-21,1.2827898,-9.194444,1027.8605,0.0
1981-02-22,0.043676753,-7.657407,1029.6505,0.0
1981-02-23,0.088582054,-5.8166666,1038.1713,0.0
1981-02-24,0.019452656,-6.1944447,1044.881,0.0
1981-02-25,1.1923372,-5.168518,1043.4186,0.0
1981-02-26,0.19125192,-5.8259254,1042.1127,0.0
1981-02-27,0.0086383065,-10.0629635,1049.2687,0.0
1981-02-28,0.005258987,-12.807408,1046.9198,0.0
1981-03-01,0.007566282,-10.67963,1033.7842,0.0
1981-03-02,0.0,-11.411113,1021.267,0.0
1981-03-03,0.09075831,-12.709258,1011.8245,0.0
1981-03-04,0.0037598307,-10.829629,1007.77563,0.0
1981-03-05,0.0,-15.0,1009.9384,0.0
1981-03-06,0.0,-19.625925,1016.764,0.0
1981-03-07,0.0,-18.492592,1020.90796,0.0
1981-03-08,2.5103967,-10.63148,1007.8872,0.0
1981-03-09,5.2623563,-4.609259,990.6054,0.0
1981-03-10,2.57769,-7.4074078,987.3061,0.0
1981-03-11,0.14052092,-12.07037,1003.2339,0.0
1981-03-12,0.4525785,-16.175926,1011.1561,0.0
1981-03-13,6.1469426,-11.9777775,1004.05396,0.0
1981-03-14,2.2610714,-11.5648155,1002.9061,0.0
1981-03-15,0.014103161,-14.946297,1010.4894,0.0
