date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.051110126,-8.21915,976.4692,0.0
1981-01-02,0.15659948,-9.012766,984.39703,0.0
1981-01-03,0.36545515,-14.6170225,992.04926,0.0
1981-01-04,0.41818035,-16.804255,997.7084,0.0
1981-01-05,0.42808545,-17.921276,1003.5072,0.0
1981-01-06,2.8851295,-17.944681,1001.4309,0.0
1981-01-07,1.095611,-10.3829775,1011.70056,0.0
1981-01-08,5.181687,-15.121277,1014.3711,0.0
1981-01-09,2.5738413,-2.348936,997.6202,0.0
1981-01-10,0.53583294,-8.091489,1001.111,0.0
1981-01-11,1.1928333,-10.531915,1004.54785,0.0
1981-01-12,0.88353217,-2.7085106,990.07855,0.0
1981-01-13,1.9851221,-2.3276596,991.85547,0.0
1981-01-14,1.0930781,-7.861702,988.5924,0.0
1981-01-15,1.1558346,-6.3255315,983.41766,0.0
1981-01-16,0.87014997,-6.1574473,983.602,0.0
1981-01-17,2.2279587,-5.3063827,994.19904,0.0
1981-01-18,0.7487916,-8.844682,1013.9655,0.0
1981-01-19,0.4939105,-11.1297865,1023.93335,0.0
1981-01-20,0.8015226,-12.414895,1020.3424,0.0
1981-01-21,0.9485481,-8.929787,1024.113,0.0
1981-01-22,0.5774649,-7.172342,1021.8813,0.0
1981-01-23,0.5617582,-3.082979,1014.2117,0.0
1981-01-24,1.0562745,0.36382982,998.863,1.0769362672
1981-01-25,1.108293,0.40851063,986.5457,1.2091914648
1981-01-26,0.10622704,-11.706384,1008.90955,0.0
1981-01-27,1.1211882,-11.414895,1012.5632,0.0
1981-01-28,0.005891055,2.3659575,1007.0085,7.0032342
1981-01-29,5.760882,2.051064,1007.7739,6.071149440000001
1981-01-30,6.589654,-2.7297869,1000.23224,0.0
1981-01-31,1.9872693,-10.976596,1003.5773,0.0
1981-02-01,1.7281241,-3.531915,986.8553,0.0
1981-02-02,0.94422555,-9.606381,998.32715,0.0
1981-02-03,0.56311727,-8.670212,979.4463,0.0
1981-02-04,1.0538825,-12.893616,979.44275,0.0
1981-02-05,1.3097776,-14.112765,990.0829,0.0
1981-02-06,0.45600116,-21.306383,999.73895,0.0
1981-02-07,3.1879308,-5.7489367,983.549,0.0
1981-02-08,0.3684339,-6.6148934,989.8777,0.0
1981-02-09,0.04027599,-9.572342,999.5822,0.0
1981-02-10,0.095814504,-10.299999,1011.8079,0.0
1981-02-11,0.0,-9.059574,1018.267,0.0
1981-02-12,0.0,-12.363831,1023.3899,0.0
1981-02-13,0.14017779,-17.704256,1027.7887,0.0
1981-02-14,0.007269349,-18.12766,1022.38696,0.0
1981-02-15,0.17808823,-14.921276,1018.1934,0.0
1981-02-16,0.9115991,-16.457445,1018.43976,0.0
1981-02-17,0.20949343,-16.559574,1030.5126,0.0
1981-02-18,0.06070185,-10.710638,1045.4247,0.0
1981-02-19,0.002107901,-16.440428,1046.0673,0.0
1981-02-20,0.010377957,-18.81702,1041.9188,0.0
1981-02-21,0.37008634,-15.127661,1033.2882,0.0
1981-02-22,0.28642154,-10.0872345,1029.1519,0.0
1981-02-23,0.56152743,-9.25532,1039.5226,0.0
1981-02-24,0.15440252,-10.655319,1048.968,0.0
1981-02-25,0.6936047,-13.606384,1047.8599,0.0
1981-02-26,0.004826809,-9.348935,1046.6559,0.0
1981-02-27,0.022747325,-10.995746,1048.43,0.0
1981-02-28,0.015996886,-10.810637,1044.6676,0.0
1981-03-01,0.04771202,-10.976596,1031.1503,0.0
1981-03-02,0.12066362,-8.62766,1018.7744,0.0
1981-03-03,0.68684566,-6.914892,1010.7381,0.0
1981-03-04,0.10984263,-15.244679,1009.53937,0.0
1981-03-05,0.0,-22.153193,1011.19855,0.0
1981-03-06,0.00045636902,-22.180851,1015.1433,0.0
1981-03-07,0.008983679,-18.30213,1018.6009,0.0
1981-03-08,0.062780865,-20.059574,1015.07855,0.0
1981-03-09,8.157437,-11.900001,999.3187,0.0
1981-03-10,4.466135,-9.582978,987.65533,0.0
1981-03-11,0.49777928,-14.482979,1006.93744,0.0
1981-03-12,0.0,-18.661701,1014.1792,0.0
1981-03-13,0.0,-17.33617,1008.82697,0.0
1981-03-14,0.0,-18.891487,1011.83386,0.0
1981-03-15,0.0,-20.731915,1013.0853,0.0
1981-03-16,0.025394358,-19.453192,1013.8854,0.0
1981-03-17,0.8702326,-15.41064,1007.09656,0.0
1981-03-18,0.29248402,-10.063829,1003.5494,0.0
1981-03-19,1.3845978,-12.591489,1004.24066,0.0
1981-03-20,1.3108629,-3.32766,989.83826,0.0
1981-03-21,0.37981957,-6.240425,999.35706,0.0
1981-03-22,1.1566268,-7.689361,1000.16364,0.0
1981-03-23,0.5644368,-1.4148936,991.9554,0.0
1981-03-24,4.230017,1.4872339,991.8798,4.4022123440000005
1981-03-25,6.588884,-0.53829783,991.71576,0.0
1981-03-26,0.2706127,-5.776595,1002.2024,0.0
1981-03-27,0.0,-10.565956,1006.8976,0.0
1981-03-28,0.0,-8.068085,1018.3638,0.0
1981-03-29,0.0,-7.314894,1026.7223,0.0
1981-03-30,0.0,0.05531914,1022.0547,0.1637446544
1981-03-31,0.35954577,1.6872339,1020.6455,4.994212344
