date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
2005-01-01,0.0,-9.0,992.0209,0.0
2005-01-02,2.9797385,-3.7,984.75073,0.0
2005-01-03,2.3769264,-4.2,983.16473,0.0
2005-01-04,0.36915413,-7.5,993.29755,0.0
2005-01-05,3.8961475,-7.2,992.64386,0.0
2005-01-06,0.6284979,-6.6,994.7501,0.0
2005-01-07,3.5198543,-8.4,984.6743,0.0
2005-01-08,0.0,-8.5,982.15515,0.0
2005-01-09,0.46453038,-9.1,985.9222,0.0
2005-01-10,3.2151837,-9.4,992.4408,0.0
2005-01-11,2.0986779,-4.7,977.2855,0.0
2005-01-12,4.1808453,-6.5,990.00775,0.0
2005-01-13,0.0,-5.0,987.2715,0.0
2005-01-14,0.0,-12.1,1006.9257,0.0
2005-01-15,0.27827555,-19.9,1016.8021,0.0
2005-01-16,2.4892046,-21.1,1011.86554,0.0
2005-01-17,0.8773161,-7.3,996.3907,0.0
2005-01-18,3.096872,-0.4,990.313,0.0
2005-01-19,2.8354175,-0.8,987.95465,0.0
2005-01-20,3.167214,-3.1,988.17285,0.0
2005-01-21,3.3708336,-5.3,991.32874,0.0
2005-01-22,0.0,-7.8,996.2862,0.0
2005-01-23,0.35201547,-9.2,1004.3834,0.0
2005-01-24,0.0,-14.3,1024.0125,0.0
2005-01-25,4.294057,-13.1,1026.6906,0.0
2005-01-26,0.0,-12.5,1015.8686,0.0
2005-01-27,2.2075994,-13.5,1019.6695,0.0
2005-01-28,1.5337409,-10.2,1019.73004,0.0
2005-01-29,4.252162,-16.0,1011.3612,0.0
2005-01-30,6.02977,-5.5,982.11633,0.0
2005-01-31,6.4427047,-5.8,977.8346,0.0
2005-02-01,1.4869294,-5.8,997.42615,0.0
2005-02-02,0.2716434,-5.1,1010.62946,0.0
2005-02-03,0.8078792,-4.5,1012.32935,0.0
2005-02-04,1.7498875,-2.4,1006.8017,0.0
2005-02-05,0.0,-5.3,1008.49457,0.0
2005-02-06,0.0,-7.9,1021.69855,0.0
2005-02-07,0.114084266,-11.6,1027.4712,0.0
2005-02-08,0.19160257,-8.2,1023.17426,0.0
2005-02-09,0.0,-7.1,1013.84064,0.0
2005-02-10,5.715779,-3.9,997.01807,0.0
2005-02-11,0.41952676,-7.4,982.37335,0.0
2005-02-12,0.07336837,-11.5,988.66534,0.0
2005-02-13,0.0,-17.3,1005.6315,0.0
2005-02-14,0.0,-25.4,1022.252,0.0
2005-02-15,0.0,-28.8,1029.2031,0.0
2005-02-16,0.4376727,-20.7,1024.5974,0.0
2005-02-17,0.89587015,-9.8,1014.78534,0.0
2005-02-18,1.4621983,-8.8,1006.9426,0.0
2005-02-19,2.4164195,-8.2,1008.4979,0.0
2005-02-20,0.16725427,-9.0,1020.31836,0.0
2005-02-21,0.0,-13.7,1035.824,0.0
2005-02-22,0.0,-25.9,1043.406,0.0
2005-02-23,0.0,-16.1,1034.4034,0.0
2005-02-24,1.2235988,-7.4,1025.2435,0.0
2005-02-25,0.16546483,-9.8,1023.0158,0.0
2005-02-26,0.0,-12.1,1023.3979,0.0
2005-02-27,0.0,-14.8,1022.7427,0.0
2005-02-28,0.021621592,-21.6,1018.0466,0.0
2005-03-01,0.0,-16.8,1007.835,0.0
2005-03-02,0.07260273,-17.1,1000.0032,0.0
2005-03-03,0.0,-13.0,1002.0262,0.0
2005-03-04,0.103876784,-12.0,1006.217,0.0
2005-03-05,0.16168214,-6.2,1013.53613,0.0
2005-03-06,0.23778659,-6.7,1009.77155,0.0
2005-03-07,2.3889043,-8.6,1005.4008,0.0
2005-03-08,0.0,-14.3,1017.7887,0.0
2005-03-09,0.45233807,-15.7,1019.85425,0.0
2005-03-10,0.9197774,-9.4,1011.0046,0.0
2005-03-11,0.0,-11.3,1008.29724,0.0
2005-03-12,0.0,-21.1,1008.3445,0.0
2005-03-13,0.0,-21.7,1008.81195,0.0
2005-03-14,0.0,-19.4,1009.7196,0.0
2005-03-15,0.044053294,-19.0,1013.2033,0.0
2005-03-16,0.704969,-15.3,1012.794,0.0
2005-03-17,0.2706325,-12.1,1011.98834,0.0
2005-03-18,0.0,-10.6,1022.7109,0.0
2005-03-19,0.0,-9.7,1028.4093,0.0
2005-03-20,0.0,-9.1,1021.9208,0.0
2005-03-21,0.0,-8.7,1015.4483,0.0
2005-03-22,0.0,-13.1,1015.92065,0.0
2005-03-23,3.1472673,-4.6,1009.03015,0.0
2005-03-24,0.1792465,1.2,999.9315,3.552
2005-03-25,0.0,0.4,1012.85065,1.184
2005-03-26,0.0,-1.3,1023.1425,0.0
2005-03-27,0.37425375,-1.6,1021.9592,0.0
2005-03-28,0.39299607,-1.7,1021.60297,0.0
2005-03-29,0.027573185,-4.5,1028.5642,0.0
2005-03-30,0.0,1.5,1025.7004,4.44
2005-03-31,0.0,-0.5,1025.9998,0.0
2005-04-01,-0.5943129,1.6,1022.0002,4.736
2005-04-02,-0.7251208,1.5,1006.09924,4.44
2005-04-03,0.1012541999999998,-3.4,1020.28815,0.0
2005-04-04,-0.88472699,2.2,1007.37164,6.5120000000000005
2005-04-05,9.9021073,1.1,992.1761,3.256
2005-04-06,-1.028217866,0.2,993.28357,0.592
2005-04-07,1.6725203000000002,-1.6,1000.0413,0.0
2005-04-08,6.23456243,-0.2,992.5835,0.0
2005-04-09,-0.087042,-0.1,1000.9265,0.0
2005-04-10,2.17093763,-0.6,1005.02856,0.0
2005-04-11,-0.79121536,-1.0,998.4326,0.0
2005-04-12,4.4275803,-3.5,1003.44916,0.0
2005-04-13,0.20766013,-1.9,1001.5938,0.0
2005-04-14,-0.1880920399999999,-1.6,1007.8646,0.0
2005-04-15,-1.0068147,0.7,1010.2574,2.072
2005-04-16,-0.7450592,-1.8,1016.79175,0.0
