date,catchment_mean_P_PET,catchment_mean_Tday,catchment_mean_Psea,catchment_mean_snow_melt
1981-01-01,0.14738005,-10.083098,979.07166,0.0
1981-01-02,0.32350102,-16.371832,987.14105,0.0
1981-01-03,0.30108383,-15.978869,994.39996,0.0
1981-01-04,0.008859751,-22.67042,1003.21576,0.0
1981-01-05,0.32687098,-29.216904,1011.18286,0.0
1981-01-06,1.6541566,-17.150702,1010.85236,0.0
1981-01-07,0.017612262,-17.57465,1021.07007,0.0
1981-01-08,6.070448,-12.923943,1000.5037,0.0
1981-01-09,0.016753884,-7.0887322,989.0559,0.0
1981-01-10,0.026086498,-15.223944,999.5668,0.0
1981-01-11,1.9376315,-14.49014,997.8191,0.0
1981-01-12,5.3734937,-2.7098591,977.37036,0.0
1981-01-13,0.3753063,-7.974647,980.8428,0.0
1981-01-14,1.5822905,-12.546478,982.0781,0.0
1981-01-15,3.9521532,-8.192958,978.29205,0.0
1981-01-16,2.031939,-8.735212,981.737,0.0
1981-01-17,1.0599046,-11.5,998.94257,0.0
1981-01-18,0.067401245,-19.167604,1020.0798,0.0
1981-01-19,0.24295205,-24.71268,1026.7958,0.0
1981-01-20,0.6579405,-17.567608,1022.9988,0.0
1981-01-21,0.2897943,-19.316902,1022.1931,0.0
1981-01-22,2.11858,-12.338027,1016.4338,0.0
1981-01-23,0.9377163,-7.3000007,1005.4016,0.0
1981-01-24,2.6040127,-1.0732394,988.07153,0.0
1981-01-25,0.535904,-4.301409,981.93665,0.0
1981-01-26,0.32624862,-17.89859,1007.8069,0.0
1981-01-27,3.0633771,-5.9253516,998.95734,0.0
1981-01-28,0.36894792,2.643662,998.4519,7.825239519999999
1981-01-29,0.008580984,-3.3690138,1004.06726,0.0
1981-01-30,0.012093142,-11.552112,1003.62555,0.0
1981-01-31,3.1020377,-13.974648,999.03864,0.0
1981-02-01,0.15634263,-5.8971834,986.6349,0.0
1981-02-02,0.98405725,-12.557747,996.3151,0.0
1981-02-03,0.16678369,-13.907042,984.0999,0.0
1981-02-04,0.0,-20.9,986.15173,0.0
1981-02-05,0.34906062,-28.685913,994.2993,0.0
1981-02-06,3.0495834,-20.201406,992.97064,0.0
1981-02-07,1.6600016,-5.6352115,975.1018,0.0
1981-02-08,0.24203083,-8.684505,982.45667,0.0
1981-02-09,0.030954156,-7.353522,994.7379,0.0
1981-02-10,0.2440282,-10.243661,1009.8627,0.0
1981-02-11,1.4515415,-13.280282,1016.1493,0.0
1981-02-12,0.16896002,-16.659155,1023.17914,0.0
1981-02-13,0.3288379,-23.490139,1027.9421,0.0
1981-02-14,1.2195927,-14.312675,1017.38403,0.0
1981-02-15,0.09087019,-13.6098585,1017.7792,0.0
1981-02-16,0.5864112,-12.680282,1018.19763,0.0
1981-02-17,0.0042349147,-11.901407,1031.6497,0.0
1981-02-18,0.16496743,-16.102814,1043.2167,0.0
1981-02-19,0.80499715,-10.81831,1040.7976,0.0
1981-02-20,0.039294124,-16.980282,1040.1724,0.0
1981-02-21,0.5514987,-19.769014,1030.8544,0.0
1981-02-22,0.6304916,-14.845071,1022.80975,0.0
1981-02-23,0.014865328,-23.269016,1040.1259,0.0
1981-02-24,0.2810855,-17.785915,1047.1019,0.0
1981-02-25,0.7760542,-10.81831,1045.0306,0.0
1981-02-26,0.04936661,-11.850703,1045.5363,0.0
1981-02-27,0.0056060343,-12.139436,1043.1683,0.0
1981-02-28,0.06670689,-11.632394,1037.7578,0.0
1981-03-01,0.19055516,-8.715493,1021.3521,0.0
1981-03-02,0.13271546,-12.560564,1013.4309,0.0
1981-03-03,0.006810088,-15.077465,1010.9634,0.0
1981-03-04,0.0014455896,-17.152113,1013.12146,0.0
1981-03-05,0.00052138604,-24.577463,1013.78906,0.0
1981-03-06,0.00010515297,-26.807041,1017.20245,0.0
1981-03-07,6.3455635e-05,-27.352112,1020.73755,0.0
1981-03-08,0.9402586,-24.743666,1015.45905,0.0
1981-03-09,8.43975,-12.091549,998.0878,0.0
1981-03-10,3.9402845,-12.292955,998.35486,0.0
1981-03-11,0.0,-18.032396,1014.2687,0.0
1981-03-12,0.93763024,-23.078873,1013.0603,0.0
1981-03-13,0.020815039,-18.859156,1007.93695,0.0
1981-03-14,0.000494559,-23.329576,1014.83636,0.0
1981-03-15,0.00031828685,-18.747887,1010.8335,0.0
1981-03-16,0.23307537,-14.730987,1011.09375,0.0
1981-03-17,1.3803731,-12.6197195,1002.8923,0.0
1981-03-18,0.0135307675,-14.140846,1002.9321,0.0
1981-03-19,3.5904562,-13.818309,1000.6683,0.0
1981-03-20,0.96956223,-7.999998,992.8949,0.0
1981-03-21,0.42698076,-11.859154,998.27466,0.0
1981-03-22,0.51949155,-17.014086,1001.28467,0.0
1981-03-23,15.205023,-9.69155,990.13544,0.0
1981-03-24,1.0011177,-6.991549,984.77594,0.0
1981-03-25,0.028588679,-7.746479,995.55237,0.0
1981-03-26,0.006464784,-11.877465,1000.94104,0.0
1981-03-27,0.0,-10.530986,1008.6823,0.0
1981-03-28,0.0,-9.380282,1020.63965,0.0
1981-03-29,0.025820177,-7.2971826,1019.1865,0.0
1981-03-30,0.0,0.37323946,1013.2817,1.1047888016
1981-03-31,0.009774484,1.4591548,1017.466,4.319098208
1981-04-01,-1.1720663,1.5000001,1025.6512,4.440000296
1981-04-02,-1.1042844862,1.2098591,1018.4519,3.5811829360000003
1981-04-03,-1.2412182,3.3760562,1017.65405,9.993126352
1981-04-04,-1.1914254,-0.21267605,1023.18726,0.0
1981-04-05,-1.0967873836,-0.41971833,1008.7952,0.0
1981-04-06,-1.3323576650000002,0.042253513,1004.9216,0.1250703984799999
1981-04-07,-0.47958067,-0.4028169,1012.87744,0.0
1981-04-08,0.1042773,-0.9126761,1016.82043,0.0
1981-04-09,-0.0934569899999999,-5.956338,1017.7862,0.0
1981-04-10,-0.3058507999999998,1.074648,997.9111,3.18095808
1981-04-11,-2.0378778,2.866197,1004.35126,8.483943120000001
1981-04-12,2.5602627,0.12535211,1011.8709,0.3710422456
1981-04-13,9.0722853,0.8732395,993.5252,2.58478892
1981-04-14,1.0844992,-0.4056338,1009.1952,0.0
1981-04-15,-0.8118024499999998,-2.1450706,1016.5768,0.0
1981-04-16,-1.2981601432999998,-2.3549292,1025.9481,0.0
1981-04-17,-1.545488374,0.27887323,1018.40967,0.8254647608000001
1981-04-18,-1.561237637,1.2690141,1008.0618,3.756281736
1981-04-19,-1.4783686135,-1.1042253,1016.26044,0.0
1981-04-20,0.5114097,0.03521127,995.4464,0.1042253592
