date,wl
2005-01-01,116
2005-01-02,116
2005-01-03,116
2005-01-04,116
2005-01-05,116
2005-01-06,116
2005-01-07,115
2005-01-08,116
2005-01-09,116
2005-01-10,115
2005-01-11,115
2005-01-12,115
2005-01-13,116
2005-01-14,116
2005-01-15,115
2005-01-16,115
2005-01-17,115
2005-01-18,115
2005-01-19,115
2005-01-20,115
2005-01-21,115
2005-01-22,115
2005-01-23,115
2005-01-24,114
2005-01-25,114
2005-01-26,114
2005-01-27,114
2005-01-28,114
2005-01-29,114
2005-01-30,114
2005-01-31,115
2005-02-01,115
2005-02-02,115
2005-02-03,115
2005-02-04,114
2005-02-05,114
2005-02-06,114
2005-02-07,114
2005-02-08,114
2005-02-09,114
2005-02-10,113
2005-02-11,114
2005-02-12,113
2005-02-13,113
2005-02-14,113
2005-02-15,113
2005-02-16,113
2005-02-17,112
2005-02-18,112
2005-02-19,112
2005-02-20,112
2005-02-21,112
2005-02-22,112
2005-02-23,112
2005-02-24,111
2005-02-25,111
2005-02-26,111
2005-02-27,111
2005-02-28,111
2005-03-01,111
2005-03-02,111
2005-03-03,110
2005-03-04,110
2005-03-05,110
2005-03-06,110
2005-03-07,110
2005-03-08,110
2005-03-09,110
2005-03-10,110
2005-03-11,110
2005-03-12,109
2005-03-13,109
2005-03-14,109
2005-03-15,109
2005-03-16,109
2005-03-17,109
2005-03-18,109
2005-03-19,108
2005-03-20,108
2005-03-21,108
2005-03-22,108
2005-03-23,108
2005-03-24,108
2005-03-25,108
2005-03-26,108
2005-03-27,108
2005-03-28,107
2005-03-29,107
2005-03-30,107
2005-03-31,107
2005-04-01,107
2005-04-02,106
2005-04-03,106
2005-04-04,106
2005-04-05,107
2005-04-06,107
2005-04-07,107
2005-04-08,108
2005-04-09,108
2005-04-10,108
2005-04-11,108
2005-04-12,108
2005-04-13,108
2005-04-14,108
2005-04-15,108
2005-04-16,108
2005-04-17,108
2005-04-18,108
2005-04-19,108
2005-04-20,107
2005-04-21,107
2005-04-22,107
2005-04-23,107
2005-04-24,107
2005-04-25,107
2005-04-26,107
2005-04-27,106
2005-04-28,106
2005-04-29,106
2005-04-30,106
2005-05-01,106
2005-05-02,106
2005-05-03,106
2005-05-04,107
2005-05-05,108
2005-05-06,108
2005-05-07,108
2005-05-08,108
2005-05-09,108
2005-05-10,109
2005-05-11,109
2005-05-12,108
2005-05-13,109
2005-05-14,109
2005-05-15,109
2005-05-16,109
2005-05-17,110
2005-05-18,111
2005-05-19,112
2005-05-20,112
2005-05-21,113
2005-05-22,114
2005-05-23,116
2005-05-24,121
2005-05-25,127
2005-05-26,135
2005-05-27,145
2005-05-28,155
2005-05-29,160
2005-05-30,162
2005-05-31,163
2005-06-01,163
2005-06-02,163
2005-06-03,162
2005-06-04,162
2005-06-05,163
2005-06-06,164
2005-06-07,167
2005-06-08,167
2005-06-09,167
2005-06-10,166
2005-06-11,165
2005-06-12,165
2005-06-13,164
2005-06-14,163
2005-06-15,161
2005-06-16,159
2005-06-17,157
2005-06-18,155
2005-06-19,154
2005-06-20,152
2005-06-21,150
2005-06-22,149
2005-06-23,148
2005-06-24,147
2005-06-25,146
2005-06-26,145
2005-06-27,143
2005-06-28,142
2005-06-29,141
2005-06-30,140
