date,wl
2005-01-01,13090.0
2005-01-02,13090.0
2005-01-03,13090.0
2005-01-04,13089.0
2005-01-05,13089.0
2005-01-06,13089.0
2005-01-07,13088.0
2005-01-08,13088.0
2005-01-09,13089.0
2005-01-10,13088.0
2005-01-11,13089.0
2005-01-12,13088.0
2005-01-13,13088.0
2005-01-14,13088.0
2005-01-15,13087.0
2005-01-16,13087.0
2005-01-17,13087.0
2005-01-18,13087.0
2005-01-19,13086.0
2005-01-20,13086.0
2005-01-21,13087.0
2005-01-22,13087.0
2005-01-23,13087.0
2005-01-24,13086.0
2005-01-25,13086.0
2005-01-26,13085.0
2005-01-27,13085.0
2005-01-28,13084.0
2005-01-29,13084.0
2005-01-30,13083.0
2005-01-31,13084.0
2005-02-01,13083.0
2005-02-02,13083.0
2005-02-03,13082.0
2005-02-04,13081.0
2005-02-05,13080.0
2005-02-06,13081.0
2005-02-07,13080.0
2005-02-08,13079.0
2005-02-09,13078.0
2005-02-10,13078.0
2005-02-11,13077.0
2005-02-12,13077.0
2005-02-13,13076.0
2005-02-14,13076.0
2005-02-15,13075.0
2005-02-16,13074.0
2005-02-17,13073.0
2005-02-18,13073.0
2005-02-19,13072.0
2005-02-20,13071.0
2005-02-21,13071.0
2005-02-22,13069.0
2005-02-23,13069.0
2005-02-24,13068.0
2005-02-25,13067.0
2005-02-26,13066.0
2005-02-27,13065.0
2005-02-28,13064.0
2005-03-01,13062.0
2005-03-02,13061.0
2005-03-03,13060.0
2005-03-04,13059.0
2005-03-05,13058.0
2005-03-06,13058.0
2005-03-07,13057.0
2005-03-08,13057.0
2005-03-09,13056.0
2005-03-10,13055.0
2005-03-11,13054.0
2005-03-12,13054.0
2005-03-13,13055.0
2005-03-14,13054.0
2005-03-15,13053.0
2005-03-16,13053.0
2005-03-17,13052.0
2005-03-18,13052.0
2005-03-19,13052.0
2005-03-20,13052.0
2005-03-21,13051.0
2005-03-22,13051.0
2005-03-23,13050.0
2005-03-24,13050.0
2005-03-25,13050.0
2005-03-26,13050.0
2005-03-27,13050.0
2005-03-28,13049.0
2005-03-29,13049.0
2005-03-30,13048.0
2005-03-31,13048.0
2005-04-01,13047.0
2005-04-02,13047.0
2005-04-03,13048.0
2005-04-04,13048.0
2005-04-05,13047.0
2005-04-06,13047.0
2005-04-07,13048.0
2005-04-08,13049.0
2005-04-09,13052.0
2005-04-10,13054.0
2005-04-11,13057.0
2005-04-12,13059.0
2005-04-13,13063.0
2005-04-14,13066.0
2005-04-15,13068.0
2005-04-16,13070.0
2005-04-17,13073.0
2005-04-18,13074.0
2005-04-19,13076.0
2005-04-20,13077.0
2005-04-21,13078.0
2005-04-22,13078.0
2005-04-23,13078.0
2005-04-24,13078.0
2005-04-25,13079.0
2005-04-26,13079.0
2005-04-27,13079.0
2005-04-28,13080.0
