date,wl
1981-01-01,9019.0
1981-01-02,9019.0
1981-01-03,9018.0
1981-01-04,9018.0
1981-01-05,9018.0
1981-01-06,9018.0
1981-01-07,9017.0
1981-01-08,9017.0
1981-01-09,9017.0
1981-01-10,9016.0
1981-01-11,9016.0
1981-01-12,9016.0
1981-01-13,9016.0
1981-01-14,9015.0
1981-01-15,9015.0
1981-01-16,9015.0
1981-01-17,9015.0
1981-01-18,9015.0
1981-01-19,9015.0
1981-01-20,9015.0
1981-01-21,9014.0
1981-01-22,9014.0
1981-01-23,9014.0
1981-01-24,9013.0
1981-01-25,9013.0
1981-01-26,9013.0
1981-01-27,9013.0
1981-01-28,9012.0
1981-01-29,9012.0
1981-01-30,9012.0
1981-01-31,9011.0
1981-02-01,9011.0
1981-02-02,9011.0
1981-02-03,9011.0
1981-02-04,9010.0
1981-02-05,9010.0
1981-02-06,9010.0
1981-02-07,9010.0
1981-02-08,9010.0
1981-02-09,9010.0
1981-02-10,9010.0
1981-02-11,9010.0
1981-02-12,9010.0
1981-02-13,9010.0
1981-02-14,9010.0
1981-02-15,9010.0
1981-02-16,9010.0
1981-02-17,9010.0
1981-02-18,9009.0
1981-02-19,9009.0
1981-02-20,9009.0
1981-02-21,9008.0
1981-02-22,9008.0
1981-02-23,9008.0
1981-02-24,9008.0
1981-02-25,9007.0
1981-02-26,9007.0
1981-02-27,9007.0
1981-02-28,9006.0
1981-03-01,9006.0
1981-03-02,9006.0
1981-03-03,9006.0
1981-03-04,9005.0
1981-03-05,9005.0
1981-03-06,9005.0
1981-03-07,9004.0
1981-03-08,9004.0
1981-03-09,9004.0
1981-03-10,9004.0
1981-03-11,9004.0
1981-03-12,9004.0
1981-03-13,9004.0
1981-03-14,9004.0
1981-03-15,9004.0
1981-03-16,9004.0
1981-03-17,9003.0
1981-03-18,9003.0
1981-03-19,9003.0
1981-03-20,9003.0
1981-03-21,9003.0
1981-03-22,9003.0
1981-03-23,9003.0
1981-03-24,9002.0
1981-03-25,9002.0
1981-03-26,9002.0
1981-03-27,9002.0
1981-03-28,9002.0
1981-03-29,9002.0
1981-03-30,9002.0
1981-03-31,9002.0
1981-04-01,9002.0
1981-04-02,9002.0
1981-04-03,9002.0
1981-04-04,9002.0
1981-04-05,9002.0
1981-04-06,9002.0
1981-04-07,9002.0
1981-04-08,9002.0
1981-04-09,9002.0
1981-04-10,9002.0
1981-04-11,9003.0
1981-04-12,9005.0
1981-04-13,9007.0
1981-04-14,9008.0
1981-04-15,9010.0
1981-04-16,9011.0
1981-04-17,9012.0
1981-04-18,9013.0
1981-04-19,9014.0
1981-04-20,9015.0
1981-04-21,9015.0
1981-04-22,9016.0
1981-04-23,9017.0
1981-04-24,9018.0
1981-04-25,9018.0
1981-04-26,9019.0
1981-04-27,9020.0
1981-04-28,9020.0
1981-04-29,9021.0
1981-04-30,9021.0
1981-05-01,9021.0
1981-05-02,9022.0
1981-05-03,9022.0
1981-05-04,9023.0
1981-05-05,9023.0
1981-05-06,9024.0
1981-05-07,9025.0
1981-05-08,9028.0
1981-05-09,9032.0
1981-05-10,9038.0
1981-05-11,9044.0
1981-05-12,9051.0
1981-05-13,9056.0
1981-05-14,9060.0
1981-05-15,9063.0
1981-05-16,9066.0
1981-05-17,9068.0
1981-05-18,9072.0
1981-05-19,9074.0
1981-05-20,9075.0
1981-05-21,9076.0
1981-05-22,9076.0
1981-05-23,9076.0
1981-05-24,9076.0
1981-05-25,9075.0
1981-05-26,9074.0
1981-05-27,9073.0
1981-05-28,9072.0
1981-05-29,9071.0
1981-05-30,9069.0
1981-05-31,9068.0
1981-06-01,9067.0
1981-06-02,9065.0
1981-06-03,9064.0
1981-06-04,9063.0
1981-06-05,9062.0
1981-06-06,9061.0
1981-06-07,9060.0
1981-06-08,9059.0
1981-06-09,9058.0
1981-06-10,9057.0
1981-06-11,9056.0
1981-06-12,9058.0
1981-06-13,9060.0
1981-06-14,9062.0
1981-06-15,9065.0
1981-06-16,9065.0
1981-06-17,9065.0
1981-06-18,9065.0
1981-06-19,9066.0
1981-06-20,9067.0
1981-06-21,9069.0
1981-06-22,9069.0
1981-06-23,9069.0
1981-06-24,9069.0
1981-06-25,9068.0
1981-06-26,9067.0
1981-06-27,9066.0
1981-06-28,9065.0
1981-06-29,9065.0
1981-06-30,9064.0
1981-07-01,9063.0
1981-07-02,9063.0
1981-07-03,9062.0
1981-07-04,9062.0
1981-07-05,9063.0
1981-07-06,9063.0
1981-07-07,9062.0
1981-07-08,9061.0
1981-07-09,9060.0
1981-07-10,9059.0
1981-07-11,9059.0
1981-07-12,9058.0
1981-07-13,9057.0
1981-07-14,9056.0
1981-07-15,9055.0
1981-07-16,9054.0
1981-07-17,9054.0
1981-07-18,9054.0
1981-07-19,9053.0
1981-07-20,9052.0
1981-07-21,9052.0
1981-07-22,9053.0
1981-07-23,9053.0
1981-07-24,9053.0
1981-07-25,9053.0
1981-07-26,9053.0
1981-07-27,9053.0
1981-07-28,9053.0
1981-07-29,9052.0
1981-07-30,9052.0
1981-07-31,9056.0
1981-08-01,9057.0
1981-08-02,9057.0
1981-08-03,9057.0
1981-08-04,9057.0
1981-08-05,9057.0
1981-08-06,9056.0
1981-08-07,9056.0
1981-08-08,9056.0
1981-08-09,9055.0
1981-08-10,9054.0
1981-08-11,9053.0
1981-08-12,9052.0
1981-08-13,9052.0
1981-08-14,9052.0
